initial_state_mean,transition_matrix,observation_matrix,process_noise_covariance,observation_noise_covariance,initial_covariance,residual_mean,residual_std,covariance_diff
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",0.8442954926223802,55.213524727093926,0.0
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",0.4618374222891426,56.528566783579414,660.0354096406479
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",1.7274806957871771,128.62924410446914,72223.38193988413
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",1.951868022022717,130.5094030492004,2779.5235427227135
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",0.3751637979387158,35.055310779838564,36542.581359480006
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",0.2172235026494107,35.12529585897748,85.71886127699264
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",0.7512689485407731,42.7649029369998,19239.528490547626
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",0.3611115215669734,45.09078651645887,610.8542932346484
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",-16.98639307862,59.553659940266414,86071.60374689102
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",-17.483342966861102,60.868717982028684,1339.6416292458725
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",-16.309424081358824,133.9632078907467,127305.33374645637
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",-15.58204921300691,136.1034474935653,4766.010743031697
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",-17.652900900109127,36.66655822997291,73858.74205148593
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",-17.856504091751745,36.72869695068974,182.04688690131763
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",-17.155171451338404,45.01357665906904,27638.363051445496
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",-17.62609285517295,47.73410203703355,339.46035002378756
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",0.17799870021196243,40.07849999875514,62864.39746700902
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",0.15395350110586462,40.2338780026349,211.50520193309595
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",-1.4600591605459765,98.2763134592827,7690.426847052821
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",-1.5325794202206369,98.52074354576071,415.91673022691657
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",0.2987481428180911,32.44274073542768,29865.42392709163
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",0.08957157736402355,32.44366542917468,717.588007925622
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",0.6211014308517276,35.93162265695793,13795.065921088379
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",0.18632522898926016,35.912089519813506,1233.5371437656622
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",-17.92681642995298,41.40288195290761,66265.65609126423
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",-17.95644447652363,41.58100749903724,287.8090331220318
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",-20.76586515028644,109.34020843739617,41080.103628189456
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",-20.81837503940859,109.64715441128993,377.7651391104426
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",-17.70806319845238,33.30285017126894,10354.071903005854
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",-17.977841937636022,33.38824201129666,990.5139104707671
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",-17.355828720156406,36.49135723995829,18989.019706423223
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",-17.893754643027677,36.593498720264506,1681.5996569800095
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",0.8351659848161571,55.25028955701608,4439.918709847466
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",0.45993467648541786,56.53386445254741,626.1887782516203
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",1.7805186590869426,128.62478575832264,72075.52850721138
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",1.9524053845602036,130.5120270990896,2918.7851760573653
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",0.37099921897745275,35.05842288609208,36543.24778575219
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",0.21657394023608784,35.1258224352847,83.0862617966178
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",0.7469291357104063,42.855883384431515,19260.695938560937
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",0.3579148094578812,45.107614447422485,590.5187831290154
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",-16.995940055834676,59.57602535746112,86013.3665559127
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",-17.485743033172685,60.87357565959687,1290.2866458615076
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",-16.22607003117939,133.96666332767813,127113.40847400865
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",-15.580583705463624,136.10612512133994,4949.127729258423
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",-17.65765380267194,36.67000615562421,73866.7963318168
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",-17.85733065729268,36.72921017216752,176.41661580580703
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",-17.15784195735243,45.10662443476912,27640.61220431984
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",-17.630230580318226,47.75380642802715,330.1315237119296
[1. 1.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",0.17762541942162585,40.079376322680176,62867.138215221166
[1. 1.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",0.15450752522405486,40.23408906883732,219.06901023839427
[1. 1.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",-1.4512907533112063,98.26478381521497,7678.983615345279
[1. 1.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",-1.5277928957984386,98.51810042068558,449.0711716823466
[1. 1.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",0.2893829638439399,32.4424091266209,29912.157945052706
[1. 1.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",0.08953008009802761,32.44398140087721,681.9948658036927
[1. 1.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",0.6036963427182924,35.928860932071046,13737.83024056009
[1. 1.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",0.18623788105679362,35.912835823489786,1175.860338756078
[1. 1.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",-17.927326331154664,41.404156655922336,66255.91708987727
[1. 1.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",-17.955718941544415,41.5810060510922,299.9399167706244
