initial_state_mean,transition_matrix,observation_matrix,process_noise_covariance,observation_noise_covariance,initial_covariance,residual_mean,residual_std,covariance_diff
[0.],[[1.]],[[1.]],[[0.01]],[[0.1]],[[0.1]],0.11684115503156982,4.329163329461652,0.0
[0.],[[1.]],[[1.]],[[0.01]],[[0.1]],[[1.]],0.050768556138498955,4.359077452145871,4.510533372890394
[0.],[[1.]],[[1.]],[[0.01]],[[0.5]],[[0.1]],0.2573339425082048,5.097260794620341,47.61804195904073
[0.],[[1.]],[[1.]],[[0.01]],[[0.5]],[[1.]],0.07616269430629448,5.258438475688072,14.260369923057967
[0.],[[1.]],[[1.]],[[0.1]],[[0.1]],[[0.1]],0.08669763288785834,3.3218806437681567,123.9619737024129
[0.],[[1.]],[[1.]],[[0.1]],[[0.1]],[[1.]],0.032149565933647796,3.2692166709129498,1.5760621454837724
[0.],[[1.]],[[1.]],[[0.1]],[[0.5]],[[0.1]],0.14313548499543663,3.808350001692341,16.951459866694208
[0.],[[1.]],[[1.]],[[0.1]],[[0.5]],[[1.]],0.05233339137505163,3.8633383986249763,11.96554453535544
[0.],[[1.]],[[0.9]],[[0.01]],[[0.1]],[[0.1]],-3.1765567959547023,4.437914544586567,12.291791576403647
[0.],[[1.]],[[0.9]],[[0.01]],[[0.1]],[[1.]],-3.2669861199545496,4.469170651717855,7.310183523217505
[0.],[[1.]],[[0.9]],[[0.01]],[[0.5]],[[0.1]],-2.994253337991913,5.174558789868643,51.530719611552655
[0.],[[1.]],[[0.9]],[[0.01]],[[0.5]],[[1.]],-3.2296768155223483,5.336427059462916,20.406320281299315
[0.],[[1.]],[[0.9]],[[0.1]],[[0.1]],[[0.1]],-3.2212032006814897,3.327005759308862,158.92464799517012
[0.],[[1.]],[[0.9]],[[0.1]],[[0.1]],[[1.]],-3.289404831779741,3.248498667351737,2.768524094096537
[0.],[[1.]],[[0.9]],[[0.1]],[[0.5]],[[0.1]],-3.1505967015490013,3.8911459737073417,23.000504349185736
[0.],[[1.]],[[0.9]],[[0.1]],[[0.5]],[[1.]],-3.26308682857371,3.944080090884897,19.503394902838586
[0.],[[0.95]],[[1.]],[[0.01]],[[0.1]],[[0.1]],0.6006303426793393,1.4807366361617822,10.337106174708904
[0.],[[0.95]],[[1.]],[[0.01]],[[0.1]],[[1.]],0.5785412814449615,1.47156681906845,0.6501715007108699
[0.],[[0.95]],[[1.]],[[0.01]],[[0.5]],[[0.1]],0.6192830176535785,1.5201498161054983,2.08199539908709
[0.],[[0.95]],[[1.]],[[0.01]],[[0.5]],[[1.]],0.5743945961333218,1.487406772597413,1.695520516393354
[0.],[[0.95]],[[1.]],[[0.1]],[[0.1]],[[0.1]],0.6299596125552197,1.5489867882967758,2.6096796503824855
[0.],[[0.95]],[[1.]],[[0.1]],[[0.1]],[[1.]],0.5868862620310034,1.464668597343113,3.0905537296394745
[0.],[[0.95]],[[1.]],[[0.1]],[[0.5]],[[0.1]],0.6648402157532654,1.6528927854864262,6.578717051473171
[0.],[[0.95]],[[1.]],[[0.1]],[[0.5]],[[1.]],0.589920482921075,1.4675079981420474,6.381975445790007
[0.],[[0.95]],[[0.9]],[[0.01]],[[0.1]],[[0.1]],-2.658538509005677,1.3509106099876422,39.46174359187149
[0.],[[0.95]],[[0.9]],[[0.01]],[[0.1]],[[1.]],-2.6865196744364255,1.3395909628485174,0.9296026389001383
[0.],[[0.95]],[[0.9]],[[0.01]],[[0.5]],[[0.1]],-2.6335612022986727,1.412394847912918,3.1625226674483833
[0.],[[0.95]],[[0.9]],[[0.01]],[[0.5]],[[1.]],-2.690876683481677,1.3624323328578534,2.600076021526697
[0.],[[0.95]],[[0.9]],[[0.1]],[[0.1]],[[0.1]],-2.619639447766865,1.4558298069386155,4.00260751289899
[0.],[[0.95]],[[0.9]],[[0.1]],[[0.1]],[[1.]],-2.675128651453774,1.3286971686363023,4.659954005070486
[0.],[[0.95]],[[0.9]],[[0.1]],[[0.5]],[[0.1]],-2.578643288880333,1.593631050976733,9.322241896910878
[0.],[[0.95]],[[0.9]],[[0.1]],[[0.5]],[[1.]],-2.671702709929634,1.3316987240243572,9.09344172457303
[1.],[[1.]],[[1.]],[[0.01]],[[0.1]],[[0.1]],0.11446381709203525,4.33074002419788,96.50005568465416
[1.],[[1.]],[[1.]],[[0.01]],[[0.1]],[[1.]],0.05043929117046539,4.359173656631202,4.260539495650901
[1.],[[1.]],[[1.]],[[0.01]],[[0.5]],[[0.1]],0.25315797288989217,5.105939313158117,48.514242575600896
[1.],[[1.]],[[1.]],[[0.01]],[[0.5]],[[1.]],0.07506736688428425,5.258967233464543,13.3808915925764
[1.],[[1.]],[[1.]],[[0.1]],[[0.1]],[[0.1]],0.08452467433708387,3.318771211761523,123.88273759102087
[1.],[[1.]],[[1.]],[[0.1]],[[0.1]],[[1.]],0.03183635454453725,3.269062408994862,1.4713336571979387
[1.],[[1.]],[[1.]],[[0.1]],[[0.5]],[[0.1]],0.14007102607002658,3.811262503009877,17.65896140952771
[1.],[[1.]],[[1.]],[[0.1]],[[0.5]],[[1.]],0.051646213102262056,3.863742956093415,11.302483997902849
[1.],[[1.]],[[0.9]],[[0.01]],[[0.1]],[[0.1]],-3.1793793932089036,4.439334617107736,12.622538173506811
[1.],[[1.]],[[0.9]],[[0.01]],[[0.1]],[[1.]],-3.2674085152039436,4.469276079656297,6.943100117665702
[1.],[[1.]],[[0.9]],[[0.01]],[[0.5]],[[0.1]],-2.998186874045031,5.182474176042944,52.7143200765992
[1.],[[1.]],[[0.9]],[[0.01]],[[0.5]],[[1.]],-3.231084699444706,5.336967450136013,19.241369624386067
[1.],[[1.]],[[0.9]],[[0.1]],[[0.1]],[[0.1]],-3.223641886767291,3.322729859267435,158.79306693482323
[1.],[[1.]],[[0.9]],[[0.1]],[[0.1]],[[1.]],-3.2897802493416854,3.2482929825054634,2.6069068033291365
[1.],[[1.]],[[0.9]],[[0.1]],[[0.5]],[[0.1]],-3.1537758753211333,3.8935069592092746,24.023861271356065
[1.],[[1.]],[[0.9]],[[0.1]],[[0.5]],[[1.]],-3.2639339697700143,3.9445874452952845,18.55262037265098
[1.],[[0.95]],[[1.]],[[0.01]],[[0.1]],[[0.1]],0.599601116672388,1.4790526506039554,10.3491348232942
[1.],[[0.95]],[[1.]],[[0.01]],[[0.1]],[[1.]],0.5784741222099592,1.4717018551000591,0.583428501154249
[1.],[[0.95]],[[1.]],[[0.01]],[[0.5]],[[0.1]],0.6169587966474823,1.5144987202203508,1.8842157152986267
[1.],[[0.95]],[[1.]],[[0.01]],[[0.5]],[[1.]],0.5742996149157052,1.487977342670537,1.4856734029871403
[1.],[[0.95]],[[1.]],[[0.1]],[[0.1]],[[0.1]],0.627799675879946,1.543080135666714,2.396865700370312
[1.],[[0.95]],[[1.]],[[0.1]],[[0.1]],[[1.]],0.5867180360100128,1.4645988308186784,2.897464208465741
[1.],[[0.95]],[[1.]],[[0.1]],[[0.5]],[[0.1]],0.6608918007216379,1.6401635775425516,6.175322788224442
[1.],[[0.95]],[[1.]],[[0.1]],[[0.5]],[[1.]],0.5895770781202017,1.4672640034657742,5.987178777583078
[1.],[[0.95]],[[0.9]],[[0.01]],[[0.1]],[[0.1]],-2.659732496389001,1.3486241819564964,39.38801159218191
[1.],[[0.95]],[[0.9]],[[0.01]],[[0.1]],[[1.]],-2.6865931365724025,1.339800933720052,0.8380767523650573
[1.],[[0.95]],[[0.9]],[[0.01]],[[0.5]],[[0.1]],-2.6362682180253785,1.4047169160882043,2.893299930131018
[1.],[[0.95]],[[0.9]],[[0.01]],[[0.5]],[[1.]],-2.690977785257004,1.363258216253087,2.313789434647839
[1.],[[0.95]],[[0.9]],[[0.1]],[[0.1]],[[0.1]],-2.6221784473722503,1.4478394795196317,3.7126229998564977
[1.],[[0.95]],[[0.9]],[[0.1]],[[0.1]],[[1.]],-2.6753313817459192,1.3285967531940797,4.398619693122799
[1.],[[0.95]],[[0.9]],[[0.1]],[[0.5]],[[0.1]],-2.583091409783171,1.5776126371249914,8.807711312623239
[1.],[[0.95]],[[0.9]],[[0.1]],[[0.5]],[[1.]],-2.6721170199301456,1.331352051172695,8.591310881454966
