initial_state_mean,transition_matrix,observation_matrix,process_noise_covariance,observation_noise_covariance,initial_covariance,residual_mean,residual_std,covariance_diff
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",0.4580114409076054,53.90252007287253,0.0
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",0.22988807134115505,54.79646325967176,194.23525009038408
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",1.3915189033065125,136.7222471013845,44861.303312702665
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",1.264344460781024,140.44786287786735,9057.996148195154
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",0.27792459052704277,40.06365084068421,17019.3719957889
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",0.16151141734983218,40.09804487999455,72.78218327325136
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",0.5213106567709204,46.32882924181589,20366.8330939781
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",0.2481507479252569,47.26414627574098,225.0227424960977
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",-20.637639388744667,58.376382400622504,108244.96215886415
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",-20.940945576989222,59.654030462897495,708.9456991059712
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",-19.53320536859772,145.42135946845517,115485.40024725467
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",-19.487180711444662,149.81703254767538,14401.403221653922
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",-20.87452635743199,43.40689319072212,69083.47704537111
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",-21.023962511984987,43.45675915496012,124.3359111892014
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",-20.564598743864675,49.74326451472055,28142.67103636856
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",-20.906110646591973,50.98615793518778,201.6782899751001
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",0.9059785683851571,43.934530651884344,85143.9807302466
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",0.8943237533336317,44.02742244144629,185.10322357662028
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",1.1390068776520879,94.51401311980446,53389.888073699105
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",1.012074178471896,94.3085149342522,1136.1890544649739
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",0.8436288573494416,37.33888620841557,83023.94329250616
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",0.726073901074602,37.348690794283314,450.02429300369624
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",1.1072751282455617,40.64005938036905,16138.911202165555
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",0.8552900259440532,40.65782783069125,836.4870507226082
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",-20.184679046734264,45.340376256800106,87242.08746577644
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",-20.199308013926288,45.43197941126052,245.452803368169
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",-19.71375936115705,110.26236023571514,19703.45138228184
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",-19.897494147427405,110.20354785607769,2095.2474795849066
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",-20.222970261280082,39.00531688054109,60865.22616695966
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",-20.376245001882673,39.03970213787029,633.4593405789901
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",-19.929599629280723,41.80297662563014,21522.31509588822
[0. 0.],"[[0.95 0.  ]
 [0.   0.95]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",-20.244536914504664,41.866830473799055,1163.4693319441483
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",0.45162279873092326,53.93169572159533,21534.260295883283
[1. 1.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",0.22884106850837074,54.800426591669876,177.40750330639145
