initial_state_mean,transition_matrix,observation_matrix,process_noise_covariance,observation_noise_covariance,initial_covariance,residual_mean,residual_std,covariance_diff
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",0.06236173085247695,3.091504087396339,0.0
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",0.028332351888531178,3.111925728159708,4.666241596571078
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",0.13213885410868456,3.655636483689104,47.81156884271526
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",0.03713718108630413,3.7602222940149232,14.02234945237187
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",0.046553715777015725,2.387676955235953,123.45289033714846
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",0.018402623887705902,2.3502478737865546,1.6194362373805706
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",0.07592215262012861,2.7277970411168306,16.963596137241442
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",0.029087419841256488,2.7650045524701623,12.112612617112248
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",-1.610573661544021,3.530954887729166,11.505285173974865
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",-1.6570589391550268,3.568786217421853,7.470128345601072
