initial_state_mean,transition_matrix,observation_matrix,process_noise_covariance,observation_noise_covariance,initial_covariance,residual_mean,residual_std,covariance_diff
[0.],[[1.]],[[1.]],[[0.01]],[[0.1]],[[0.1]],0.002779683094907272,0.6772015454840347,0.0
[0.],[[1.]],[[1.]],[[0.01]],[[0.1]],[[1.]],0.0027066057014758596,0.6772821917388763,0.0012186072523976865
[0.],[[1.]],[[1.]],[[0.01]],[[0.5]],[[0.1]],0.000534242886877774,0.819188040435926,1.9317303086219668
[0.],[[1.]],[[1.]],[[0.01]],[[0.5]],[[1.]],0.0002638653052175767,0.8200692574283974,0.014876991878901553
[0.],[[1.]],[[1.]],[[0.1]],[[0.1]],[[0.1]],0.0028082024925677805,0.5710192269083453,2.8464302620714204
[0.],[[1.]],[[1.]],[[0.1]],[[0.1]],[[1.]],0.0027852180373415672,0.5710018551373853,0.00039238022796480866
[0.],[[1.]],[[1.]],[[0.1]],[[0.5]],[[0.1]],0.0028228629567388164,0.5858316319927475,0.0955173617209384
[0.],[[1.]],[[1.]],[[0.1]],[[0.5]],[[1.]],0.002790812402109566,0.585810153003548,0.0004082095666941892
[0.],[[1.]],[[0.9]],[[0.01]],[[0.1]],[[0.1]],-0.050091618878423734,0.6981962488674999,0.3043891819556052
[0.],[[1.]],[[0.9]],[[0.01]],[[0.1]],[[1.]],-0.05021911657088186,0.6983906834332311,0.0034774796866889764
[0.],[[1.]],[[0.9]],[[0.01]],[[0.5]],[[0.1]],-0.05449962979432707,0.8440971977647668,2.5944887314677696
[0.],[[1.]],[[0.9]],[[0.01]],[[0.5]],[[1.]],-0.05500013535125436,0.8453515371042303,0.02633146057172056
[0.],[[1.]],[[0.9]],[[0.1]],[[0.1]],[[0.1]],-0.04998420437239201,0.5549511041036109,4.193366892563334
[0.],[[1.]],[[0.9]],[[0.1]],[[0.1]],[[1.]],-0.05001583985097792,0.5549257482744829,0.0005763963451268361
[0.],[[1.]],[[0.9]],[[0.1]],[[0.5]],[[0.1]],-0.04998196967750009,0.5735150327682828,0.14657649660370742
[0.],[[1.]],[[0.9]],[[0.1]],[[0.5]],[[1.]],-0.05002917919993413,0.573484804631275,0.0005833226594527628
[0.],[[0.95]],[[1.]],[[0.01]],[[0.1]],[[0.1]],0.03829376166748169,0.606595321709627,2.245313950621718
[0.],[[0.95]],[[1.]],[[0.01]],[[0.1]],[[1.]],0.03824290065972135,0.6065979383998307,0.00038697898559239324
[0.],[[0.95]],[[1.]],[[0.01]],[[0.5]],[[0.1]],0.04478944203916396,0.65263758817438,0.43619949686519216
[0.],[[0.95]],[[1.]],[[0.01]],[[0.5]],[[1.]],0.04472472751872296,0.6529793337223163,0.003938330157016787
[0.],[[0.95]],[[1.]],[[0.1]],[[0.1]],[[0.1]],0.03302319207615398,0.563869855810083,0.7584346586017165
[0.],[[0.95]],[[1.]],[[0.1]],[[0.1]],[[1.]],0.033000760646510995,0.5638530686354459,0.0004290211089902509
[0.],[[0.95]],[[1.]],[[0.1]],[[0.5]],[[0.1]],0.03406831909332062,0.5726598303900571,0.0579739630579244
[0.],[[0.95]],[[1.]],[[0.1]],[[0.5]],[[1.]],0.03403777852163198,0.5726389734506354,0.0004801899250226148
[0.],[[0.95]],[[0.9]],[[0.01]],[[0.1]],[[0.1]],-0.009074553135147457,0.5942738553981558,1.2545336177686017
[0.],[[0.95]],[[0.9]],[[0.01]],[[0.1]],[[1.]],-0.00915243174816306,0.5942933059636656,0.0007862309832015494
[0.],[[0.95]],[[0.9]],[[0.01]],[[0.5]],[[0.1]],-0.0008016272376991363,0.646291124232462,0.616794571804368
[0.],[[0.95]],[[0.9]],[[0.01]],[[0.5]],[[1.]],-0.0008854760043727776,0.6468657655801378,0.008052656246107466
[0.],[[0.95]],[[0.9]],[[0.1]],[[0.1]],[[0.1]],-0.01623797085178047,0.5411070910401947,1.1142266690241183
[0.],[[0.95]],[[0.9]],[[0.1]],[[0.1]],[[1.]],-0.0162687868019918,0.5410822831094205,0.0006360095879320807
[0.],[[0.95]],[[0.9]],[[0.1]],[[0.5]],[[0.1]],-0.014908792586628056,0.5515566252372768,0.08357627596540557
[0.],[[0.95]],[[0.9]],[[0.1]],[[0.5]],[[1.]],-0.014952943899705669,0.5515257466530278,0.0007002011428789327
[1.],[[1.]],[[1.]],[[0.01]],[[0.1]],[[0.1]],0.0024414966652152406,0.6775638999607579,2.1839882285538526
[1.],[[1.]],[[1.]],[[0.01]],[[0.1]],[[1.]],0.0026715753729279115,0.6773269402639243,0.003624606975285242
[1.],[[1.]],[[1.]],[[0.01]],[[0.5]],[[0.1]],-7.11583220771304e-06,0.8207689857695492,1.9577989551131134
[1.],[[1.]],[[1.]],[[0.01]],[[0.5]],[[1.]],0.0002067840985850649,0.8202619532924055,0.00860061709417189
[1.],[[1.]],[[1.]],[[0.1]],[[0.1]],[[0.1]],0.002440725905242178,0.5707566757404758,2.849605098065659
[1.],[[1.]],[[1.]],[[0.1]],[[0.1]],[[1.]],0.0027464168534699508,0.5709735252914409,0.00040427477052612856
[1.],[[1.]],[[1.]],[[0.1]],[[0.5]],[[0.1]],0.0024345475827153083,0.5856024042840915,0.09578461100226228
[1.],[[1.]],[[1.]],[[0.1]],[[0.5]],[[1.]],0.0027497895630910997,0.5857883469953525,0.0004796655929964276
[1.],[[1.]],[[0.9]],[[0.01]],[[0.1]],[[0.1]],-0.0505230017256988,0.6988540672299338,0.29387054092983855
[1.],[[1.]],[[0.9]],[[0.01]],[[0.1]],[[1.]],-0.05026403441116746,0.6984703031503988,0.0068708277435644794
[1.],[[1.]],[[0.9]],[[0.01]],[[0.5]],[[0.1]],-0.05526760252486478,0.845902854786145,2.6309029092664273
[1.],[[1.]],[[0.9]],[[0.01]],[[0.5]],[[1.]],-0.0550823941185765,0.8455697075155718,0.006909661809136128
[1.],[[1.]],[[0.9]],[[0.1]],[[0.1]],[[0.1]],-0.05042929031142879,0.5546151255650461,4.197829326054182
[1.],[[1.]],[[0.9]],[[0.1]],[[0.1]],[[1.]],-0.05006337728266339,0.554889014153461,0.0005937960927927332
[1.],[[1.]],[[0.9]],[[0.1]],[[0.5]],[[0.1]],-0.05044990776682276,0.5732445748574592,0.1471074276049621
[1.],[[1.]],[[0.9]],[[0.1]],[[0.5]],[[1.]],-0.05007914350250589,0.5734599512691101,0.0007394947306247465
[1.],[[0.95]],[[1.]],[[0.01]],[[0.1]],[[0.1]],0.03799853865244634,0.6065826674112328,2.2465138673733356
[1.],[[0.95]],[[1.]],[[0.01]],[[0.1]],[[1.]],0.03821231032155979,0.6065985550109695,0.0009319970583921555
[1.],[[0.95]],[[1.]],[[0.01]],[[0.5]],[[0.1]],0.04453673098296175,0.6531930287356421,0.44284568649216577
[1.],[[0.95]],[[1.]],[[0.01]],[[0.5]],[[1.]],0.04470121347872863,0.653056022729082,0.0019932506963361075
[1.],[[0.95]],[[1.]],[[0.1]],[[0.1]],[[0.1]],0.03266937847820108,0.5636179126744689,0.7592742700690741
[1.],[[0.95]],[[1.]],[[0.1]],[[0.1]],[[1.]],0.03296327785393216,0.5638254419394808,0.00043784019007839063
[1.],[[0.95]],[[1.]],[[0.1]],[[0.5]],[[0.1]],0.03368982758521314,0.5724210033021259,0.058154552606271157
[1.],[[0.95]],[[1.]],[[0.1]],[[0.5]],[[1.]],0.03399774710901812,0.5726141632819418,0.0005132636414201528
[1.],[[0.95]],[[0.9]],[[0.01]],[[0.1]],[[0.1]],-0.009421527557857499,0.594312567302832,1.2521253304277047
[1.],[[0.95]],[[0.9]],[[0.01]],[[0.1]],[[1.]],-0.009188525941065798,0.5943005172851401,0.00153033392011091
[1.],[[0.95]],[[0.9]],[[0.01]],[[0.5]],[[0.1]],-0.0010859471438408551,0.6470502598030601,0.6275574234986085
[1.],[[0.95]],[[0.9]],[[0.01]],[[0.5]],[[1.]],-0.0009107790007250507,0.6469724311197402,0.001568285133238741
[1.],[[0.95]],[[0.9]],[[0.1]],[[0.1]],[[0.1]],-0.01666717605541173,0.5407799296018281,1.1156435573059404
[1.],[[0.95]],[[0.9]],[[0.1]],[[0.1]],[[1.]],-0.016314819139834753,0.5410458330582703,0.000648162632080832
[1.],[[0.95]],[[0.9]],[[0.1]],[[0.5]],[[0.1]],-0.015364411109715221,0.5512589379200394,0.08389194877471766
[1.],[[0.95]],[[0.9]],[[0.1]],[[0.5]],[[1.]],-0.015001648349369368,0.5514947536160065,0.0007589985787610852
