initial_state_mean,transition_matrix,observation_matrix,process_noise_covariance,observation_noise_covariance,initial_covariance,residual_mean,residual_std,covariance_diff
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",0.0022903996891292934,0.508149667028678,0.0
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",0.0023663805516800866,0.5080933665230871,0.001295254315632127
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",0.0017082480878071612,0.5600770667641785,0.8524060737562769
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",0.0017595176947008985,0.5600086393590215,0.0015276845453586223
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",0.0018231885410340946,0.4157071505921237,2.154666938193931
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",0.001918759777735765,0.41574914528454887,0.0004473264992221344
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",0.0019971626080369015,0.4331047387839643,0.21753511370515086
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",0.0020999164557352202,0.4331172233392962,0.0006738983632539863
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",0.006093223128458656,0.5185122299386296,1.1595490104122164
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",0.006188869217529811,0.5184402896814267,0.0021661145740460427
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",0.005059971760424278,0.5737952874891313,1.1255683864004082
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",0.0051129956880157515,0.5737465744626179,0.0020130363901223487
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",0.0056951822159787965,0.4093603762908945,3.011128134826299
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",0.005825722169462595,0.4094242533344792,0.0006996639314336904
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",0.0058873723603764,0.4294036736639711,0.30827713042993216
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",0.006024743736441807,0.4294255215141646,0.0011048332580839125
