initial_state_mean,transition_matrix,observation_matrix,process_noise_covariance,observation_noise_covariance,initial_covariance,residual_mean,residual_std,covariance_diff
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",0.052627989195999175,21.24375226139121,0.0
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",0.009627350600121563,31.024057082902246,26537.63775740887
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",0.05168869340531651,24.14220681708521,3103.6678640417827
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",0.013933931122587612,39.858904730725435,83542.64122196169
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",0.09019615719433716,26.171522316582767,120645.28131482274
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",0.05009751138301875,17.345488444728474,16097.533994194106
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",0.11164616580674502,34.729675838199405,35608.72029999778
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",0.046507999023621426,23.01109305984535,15212.779050728437
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",-14.514089193119617,31.342184553354727,28084.351405052603
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",-14.567471137661924,38.99535523816815,38393.72345199541
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",-14.511411888767105,34.06650879779587,15848.659767598532
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.01 0.   0.  ]
 [0.   0.01 0.  ]
 [0.   0.   0.01]]","[[0.5 0.  0. ]
 [0.  0.5 0. ]
 [0.  0.  0.5]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]",-14.550873860038593,53.69361833748632,120666.04301289236
[0. 0. 0.],"[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 1.]]","[[0.9 0.  0. ]
 [0.  0.9 0. ]
 [0.  0.  0.9]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]","[[0.1 0.  0. ]
 [0.  0.1 0. ]
 [0.  0.  0.1]]",-14.466057245630726,38.2523668870441,160123.5948713257
