initial_state_mean,transition_matrix,observation_matrix,process_noise_covariance,observation_noise_covariance,initial_covariance,residual_mean,residual_std,covariance_diff
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",-0.1181813001492678,82.87930837357456,0.0
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]",-0.035675918276105445,76.78738498447358,27558.11275302439
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",0.10955682875047876,48.43856158333246,424351.7732375441
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]",0.06179045877428095,48.234770678026,15144.816324932484
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",0.12549480015186348,44.011756665359215,277231.0334853344
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]",0.08380249088885783,45.89991363659628,45065.7798667738
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",-0.015990937757296403,74.92204404733151,207573.8936612953
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]",-0.0017428282867849524,73.45029925050213,25333.58806484841
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[0.9 0.  0.  0. ]
 [0.  0.9 0.  0. ]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",-21.14134810701217,77.74554792876751,183228.18342978042
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[0.9 0.  0.  0. ]
 [0.  0.9 0.  0. ]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]",-21.229517253070938,74.90175612835556,70131.49948559867
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[0.9 0.  0.  0. ]
 [0.  0.9 0.  0. ]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",-21.08334894179295,57.167439540747296,386454.87240847526
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[0.9 0.  0.  0. ]
 [0.  0.9 0.  0. ]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]",-21.157830735734816,57.18193036266747,18294.786548567386
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[0.9 0.  0.  0. ]
 [0.  0.9 0.  0. ]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",-21.052595307404335,60.04547082744137,283748.099318694
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[0.9 0.  0.  0. ]
 [0.  0.9 0.  0. ]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]",-21.158763684395808,53.385323357569135,57238.74153121205
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[0.9 0.  0.  0. ]
 [0.  0.9 0.  0. ]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",-21.270654087918995,80.9823328860309,235831.32636495752
[0. 0. 0. 0.],"[[1. 0. 1. 0.]
 [0. 1. 0. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[0.9 0.  0.  0. ]
 [0.  0.9 0.  0. ]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]",-21.24464375855321,81.736412126071,8844.71255302951
[0. 0. 0. 0.],"[[0.95 0.   0.95 0.  ]
 [0.   0.95 0.   0.95]
 [0.   0.   0.95 0.  ]
 [0.   0.   0.   0.95]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",2.4412933999593753,84.86747653387623,183439.67393203813
[0. 0. 0. 0.],"[[0.95 0.   0.95 0.  ]
 [0.   0.95 0.   0.95]
 [0.   0.   0.95 0.  ]
 [0.   0.   0.   0.95]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]",2.066732317982791,86.40514460445776,10089.674746596225
[0. 0. 0. 0.],"[[0.95 0.   0.95 0.  ]
 [0.   0.95 0.   0.95]
 [0.   0.   0.95 0.  ]
 [0.   0.   0.   0.95]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",0.17442479339114672,49.153035423920294,454630.39029624977
[0. 0. 0. 0.],"[[0.95 0.   0.95 0.  ]
 [0.   0.95 0.   0.95]
 [0.   0.   0.95 0.  ]
 [0.   0.   0.   0.95]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]",0.1335946446146294,49.517845265510694,7645.532363071809
[0. 0. 0. 0.],"[[0.95 0.   0.95 0.  ]
 [0.   0.95 0.   0.95]
 [0.   0.   0.95 0.  ]
 [0.   0.   0.   0.95]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",0.03592722412629407,40.461128197407064,359496.1361300333
[0. 0. 0. 0.],"[[0.95 0.   0.95 0.  ]
 [0.   0.95 0.   0.95]
 [0.   0.   0.95 0.  ]
 [0.   0.   0.   0.95]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]",0.17196775411211532,40.389404694573344,11623.102084658072
[0. 0. 0. 0.],"[[0.95 0.   0.95 0.  ]
 [0.   0.95 0.   0.95]
 [0.   0.   0.95 0.  ]
 [0.   0.   0.   0.95]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",-1.014995784863506,81.97150624310834,231324.82980663315
[0. 0. 0. 0.],"[[0.95 0.   0.95 0.  ]
 [0.   0.95 0.   0.95]
 [0.   0.   0.95 0.  ]
 [0.   0.   0.   0.95]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]",3.260206470769661,79.26936306648201,23709.616445081192
[0. 0. 0. 0.],"[[0.95 0.   0.95 0.  ]
 [0.   0.95 0.   0.95]
 [0.   0.   0.95 0.  ]
 [0.   0.   0.   0.95]]","[[0.9 0.  0.  0. ]
 [0.  0.9 0.  0. ]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",-19.380777693856853,84.81229697987678,132316.9502376826
[0. 0. 0. 0.],"[[0.95 0.   0.95 0.  ]
 [0.   0.95 0.   0.95]
 [0.   0.   0.95 0.  ]
 [0.   0.   0.   0.95]]","[[0.9 0.  0.  0. ]
 [0.  0.9 0.  0. ]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]",-18.717989566152575,87.80387151065752,30010.438213606423
[0. 0. 0. 0.],"[[0.95 0.   0.95 0.  ]
 [0.   0.95 0.   0.95]
 [0.   0.   0.95 0.  ]
 [0.   0.   0.   0.95]]","[[0.9 0.  0.  0. ]
 [0.  0.9 0.  0. ]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",-21.022259798887077,56.24391785920599,578004.4683780505
[0. 0. 0. 0.],"[[0.95 0.   0.95 0.  ]
 [0.   0.95 0.   0.95]
 [0.   0.   0.95 0.  ]
 [0.   0.   0.   0.95]]","[[0.9 0.  0.  0. ]
 [0.  0.9 0.  0. ]]","[[0.01 0.   0.   0.  ]
 [0.   0.01 0.   0.  ]
 [0.   0.   0.01 0.  ]
 [0.   0.   0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]",-21.06213531058295,56.83758344831733,5144.639231792603
[0. 0. 0. 0.],"[[0.95 0.   0.95 0.  ]
 [0.   0.95 0.   0.95]
 [0.   0.   0.95 0.  ]
 [0.   0.   0.   0.95]]","[[0.9 0.  0.  0. ]
 [0.  0.9 0.  0. ]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",-20.314055195334856,48.9012599592913,381772.79130213975
[0. 0. 0. 0.],"[[0.95 0.   0.95 0.  ]
 [0.   0.95 0.   0.95]
 [0.   0.   0.95 0.  ]
 [0.   0.   0.   0.95]]","[[0.9 0.  0.  0. ]
 [0.  0.9 0.  0. ]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]",-20.46429791282475,48.68578288525121,2320.8196435038185
[0. 0. 0. 0.],"[[0.95 0.   0.95 0.  ]
 [0.   0.95 0.   0.95]
 [0.   0.   0.95 0.  ]
 [0.   0.   0.   0.95]]","[[0.9 0.  0.  0. ]
 [0.  0.9 0.  0. ]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0.  0.  0. ]
 [0.  0.1 0.  0. ]
 [0.  0.  0.1 0. ]
 [0.  0.  0.  0.1]]",-18.089279006512562,85.09247488062117,275220.01152972894
