initial_state_mean,transition_matrix,observation_matrix,process_noise_covariance,observation_noise_covariance,initial_covariance,avg_residual_mean,avg_residual_std,avg_covariance_diff
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",14.161381622514446,40.99961690262566,312.61497919952603
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",15.578674577357969,57.21682394465135,493.0909698366555
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",15.790055057901842,60.95420642560073,530.3296814166569
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",12.738197627840252,98.91018070146468,964.7685000057533
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",13.383102111606386,36.150525537340805,120.0502459585895
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",11.088151181973313,27.492296283330536,110.83820366500704
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",15.64798090558194,41.57987022901696,188.69945533261208
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[1. 0.]
 [0. 1.]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",12.899083019845436,32.59130812727243,219.20866241904656
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",-3.8809735035838075,46.89765162225387,433.68068114445555
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",-2.568395387610549,64.93669219824564,690.9030828788849
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",-2.5287654227253706,62.88765747471123,651.3828928822088
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.01 0.  ]
 [0.   0.01]]","[[0.5 0. ]
 [0.  0.5]]","[[1. 0.]
 [0. 1.]]",-7.267349560691007,106.67777787661129,1233.4614516257511
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]",-4.675676003896994,44.15573273621824,164.3358757830822
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.1 0. ]
 [0.  0.1]]","[[1. 0.]
 [0. 1.]]",-7.649603119710413,36.0049773464485,143.93168469886652
[0. 0.],"[[1. 0.]
 [0. 1.]]","[[0.9 0. ]
 [0.  0.9]]","[[0.1 0. ]
 [0.  0.1]]","[[0.5 0. ]
 [0.  0.5]]","[[0.1 0. ]
 [0.  0.1]]",-2.392005959213353,47.77680169451904,244.9924718298461
