,Threshold_0.5,Threshold_30,Threshold_0.5
Model_AUC,0.714613788,0.571591337,0.718939787
Model_Accuracy,0.893478261,0.335217391,0.899565217
Model_PPV,0.3640553,0.088793631,0.386934673
Model_Sensitivity,0.424731183,0.779569892,0.413978495
Model_Specificity,0.934720908,0.296121097,0.942289499
Baseline_AUC,0.702113915,0.572890917,0.702113915
Baseline_Accuracy,0.898695652,0.44,0.898695652
Baseline_PPV,0.375661376,0.093057607,0.375661376
Baseline_Sensitivity,0.38172043,0.677419355,0.38172043
Baseline_Specificity,0.944181646,0.419110691,0.944181646
Future_AUC,0.714613788,0.571591337,0.718939787
Future_Accuracy,0.896521739,0.414782609,0.902608696
Future_PPV,0.375,0.089816124,0.39893617
Future_Sensitivity,0.419354839,0.682795699,0.403225806
Future_Specificity,0.938505203,0.391201514,0.946546831
