,Threshold_0.5,Threshold_30,Threshold_0.5
Model_AUC,0.7346288440605895,0.5731503240048422,0.7357147943561102
Model_Accuracy,0.8969565217391304,0.5169565217391304,0.8969565217391304
Model_PPV,0.37438423645320196,0.09887250650477017,0.375609756097561
Model_Sensitivity,0.40860215053763443,0.6129032258064516,0.41397849462365593
Model_Specificity,0.9399243140964996,0.5085146641438032,0.9394512771996215
Baseline_AUC,0.7021139154230374,0.5728909166742963,0.7021139154230374
Baseline_Accuracy,0.898695652173913,0.44,0.898695652173913
Baseline_PPV,0.37566137566137564,0.0930576070901034,0.37566137566137564
Baseline_Sensitivity,0.3817204301075269,0.6774193548387096,0.3817204301075269
Baseline_Specificity,0.9441816461684012,0.41911069063386946,0.9441816461684012
Future_AUC,0.7346288440605895,0.5731503240048422,0.7357147943561102
Future_Accuracy,0.898695652173913,0.6343478260869565,0.8982608695652174
Future_PPV,0.37823834196891193,0.10965435041716329,0.3787878787878788
Future_Sensitivity,0.3924731182795699,0.4946236559139785,0.4032258064516129
Future_Specificity,0.9432355723746452,0.6466414380321666,0.9418164616840113
