Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.02,"0.809 (0.799, 0.821)","0.327 (0.310, 0.334)","0.935 (0.929, 0.940)","0.294 (0.280, 0.296)","0.069 (0.062, 0.078)",Model
0.04,"0.809 (0.799, 0.821)","0.670 (0.663, 0.671)","0.799 (0.774, 0.806)","0.662 (0.653, 0.666)","0.112 (0.110, 0.130)",Model
0.06,"0.809 (0.799, 0.821)","0.820 (0.813, 0.829)","0.661 (0.657, 0.664)","0.830 (0.825, 0.836)","0.174 (0.173, 0.198)",Model
0.08,"0.809 (0.799, 0.821)","0.885 (0.882, 0.896)","0.550 (0.548, 0.591)","0.905 (0.904, 0.911)","0.246 (0.236, 0.279)",Model
0.1,"0.809 (0.799, 0.821)","0.916 (0.916, 0.928)","0.500 (0.497, 0.504)","0.944 (0.939, 0.949)","0.328 (0.321, 0.363)",Model
0.12,"0.809 (0.799, 0.821)","0.927 (0.926, 0.938)","0.471 (0.450, 0.478)","0.957 (0.952, 0.961)","0.375 (0.375, 0.414)",Model
0.14,"0.809 (0.799, 0.821)","0.933 (0.930, 0.943)","0.419 (0.417, 0.460)","0.965 (0.961, 0.968)","0.426 (0.387, 0.442)",Model
0.16,"0.809 (0.799, 0.821)","0.935 (0.932, 0.945)","0.381 (0.374, 0.451)","0.970 (0.965, 0.972)","0.451 (0.394, 0.454)",Model
0.18,"0.809 (0.799, 0.821)","0.938 (0.936, 0.947)","0.381 (0.364, 0.425)","0.973 (0.970, 0.976)","0.478 (0.418, 0.490)",Model
0.2,"0.809 (0.799, 0.821)","0.940 (0.938, 0.951)","0.361 (0.348, 0.398)","0.977 (0.973, 0.980)","0.495 (0.460, 0.496)",Model
0.22,"0.809 (0.799, 0.821)","0.942 (0.939, 0.954)","0.348 (0.348, 0.389)","0.979 (0.975, 0.983)","0.513 (0.506, 0.524)",Model
0.24,"0.809 (0.799, 0.821)","0.943 (0.943, 0.954)","0.348 (0.339, 0.389)","0.982 (0.980, 0.984)","0.527 (0.506, 0.543)",Model
0.26,"0.809 (0.799, 0.821)","0.945 (0.944, 0.957)","0.323 (0.313, 0.369)","0.984 (0.983, 0.986)","0.554 (0.539, 0.568)",Model
