Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.1,"0.759 (0.746, 0.787)","0.965 (0.962, 0.967)","0.266 (0.238, 0.274)","0.982 (0.980, 0.982)","0.261 (0.245, 0.263)",Model
0.2,"0.759 (0.746, 0.787)","0.977 (0.976, 0.977)","0.190 (0.180, 0.202)","0.995 (0.995, 0.996)","0.472 (0.442, 0.485)",Model
0.30000000000000004,"0.759 (0.746, 0.787)","0.977 (0.976, 0.978)","0.096 (0.095, 0.101)","0.999 (0.997, 0.999)","0.500 (0.444, 0.643)",Model
0.4,"0.759 (0.746, 0.787)","0.978 (0.977, 0.978)","0.060 (0.056, 0.060)","1.000 (0.999, 1.000)","0.750 (0.667, 0.833)",Model
0.5,"0.759 (0.746, 0.787)","0.977 (0.977, 0.978)","0.021 (0.012, 0.034)","1.000 (1.000, 1.000)","1.000 (0.667, 1.000)",Model
0.1,"0.642 (0.610, 0.658)","0.023 (0.022, 0.024)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.023 (0.022, 0.024)",AlloSure
0.2,"0.642 (0.610, 0.658)","0.811 (0.802, 0.823)","0.447 (0.381, 0.449)","0.821 (0.811, 0.831)","0.054 (0.045, 0.064)",AlloSure
0.30000000000000004,"0.642 (0.610, 0.658)","0.859 (0.850, 0.865)","0.292 (0.284, 0.357)","0.872 (0.864, 0.878)","0.048 (0.048, 0.066)",AlloSure
0.4,"0.642 (0.610, 0.658)","0.886 (0.875, 0.888)","0.284 (0.250, 0.333)","0.900 (0.890, 0.901)","0.061 (0.049, 0.077)",AlloSure
0.5,"0.642 (0.610, 0.658)","0.901 (0.892, 0.905)","0.259 (0.226, 0.274)","0.916 (0.908, 0.920)","0.068 (0.054, 0.077)",AlloSure
