Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.02,"0.777 (0.775, 0.806)","0.774 (0.769, 0.776)","0.680 (0.632, 0.689)","0.778 (0.773, 0.778)","0.067 (0.057, 0.073)",Model
0.04,"0.777 (0.775, 0.806)","0.926 (0.918, 0.928)","0.459 (0.412, 0.460)","0.938 (0.927, 0.938)","0.127 (0.126, 0.156)",Model
0.06,"0.777 (0.775, 0.806)","0.952 (0.947, 0.957)","0.344 (0.333, 0.420)","0.963 (0.963, 0.970)","0.191 (0.189, 0.193)",Model
0.08,"0.777 (0.775, 0.806)","0.965 (0.960, 0.965)","0.311 (0.294, 0.320)","0.978 (0.976, 0.979)","0.242 (0.229, 0.253)",Model
0.1,"0.777 (0.775, 0.806)","0.970 (0.963, 0.970)","0.311 (0.275, 0.320)","0.984 (0.980, 0.985)","0.288 (0.280, 0.291)",Model
0.12,"0.777 (0.775, 0.806)","0.972 (0.965, 0.972)","0.295 (0.255, 0.320)","0.987 (0.983, 0.987)","0.302 (0.300, 0.333)",Model
0.14,"0.777 (0.775, 0.806)","0.973 (0.967, 0.974)","0.246 (0.235, 0.320)","0.988 (0.985, 0.989)","0.343 (0.300, 0.381)",Model
0.16,"0.777 (0.775, 0.806)","0.974 (0.968, 0.974)","0.246 (0.206, 0.286)","0.989 (0.987, 0.991)","0.326 (0.304, 0.381)",Model
0.18,"0.777 (0.775, 0.806)","0.973 (0.971, 0.976)","0.230 (0.191, 0.260)","0.991 (0.991, 0.992)","0.378 (0.361, 0.444)",Model
0.2,"0.777 (0.775, 0.806)","0.974 (0.972, 0.976)","0.220 (0.162, 0.230)","0.992 (0.992, 0.993)","0.400 (0.367, 0.448)",Model
0.22,"0.777 (0.775, 0.806)","0.976 (0.974, 0.977)","0.197 (0.132, 0.220)","0.994 (0.994, 0.995)","0.444 (0.360, 0.464)",Model
0.24,"0.777 (0.775, 0.806)","0.977 (0.974, 0.978)","0.180 (0.132, 0.200)","0.995 (0.995, 0.996)","0.458 (0.391, 0.500)",Model
0.26,"0.777 (0.775, 0.806)","0.978 (0.975, 0.978)","0.180 (0.132, 0.200)","0.996 (0.996, 0.996)","0.478 (0.450, 0.526)",Model
0.28,"0.777 (0.775, 0.806)","0.979 (0.975, 0.980)","0.180 (0.132, 0.180)","0.998 (0.997, 0.998)","0.529 (0.524, 0.600)",Model
0.3,"0.777 (0.775, 0.806)","0.978 (0.975, 0.980)","0.160 (0.118, 0.180)","0.998 (0.997, 0.998)","0.533 (0.524, 0.571)",Model
0.32,"0.777 (0.775, 0.806)","0.979 (0.975, 0.981)","0.120 (0.103, 0.164)","0.998 (0.998, 0.998)","0.600 (0.526, 0.636)",Model
0.34,"0.777 (0.775, 0.806)","0.978 (0.975, 0.981)","0.120 (0.103, 0.148)","0.998 (0.998, 0.999)","0.600 (0.500, 0.700)",Model
0.36,"0.777 (0.775, 0.806)","0.979 (0.975, 0.981)","0.120 (0.103, 0.148)","0.999 (0.999, 0.999)","0.667 (0.529, 0.700)",Model
0.38,"0.777 (0.775, 0.806)","0.979 (0.975, 0.981)","0.120 (0.088, 0.131)","0.999 (0.999, 0.999)","0.667 (0.533, 0.667)",Model
0.4,"0.777 (0.775, 0.806)","0.979 (0.976, 0.980)","0.080 (0.059, 0.131)","0.999 (0.999, 0.999)","0.615 (0.600, 0.667)",Model
0.42,"0.777 (0.775, 0.806)","0.979 (0.976, 0.980)","0.080 (0.059, 0.115)","0.999 (0.999, 0.999)","0.600 (0.600, 0.636)",Model
0.44,"0.777 (0.775, 0.806)","0.980 (0.976, 0.980)","0.080 (0.059, 0.098)","0.999 (0.999, 1.000)","0.600 (0.571, 0.750)",Model
0.46,"0.777 (0.775, 0.806)","0.980 (0.976, 0.980)","0.060 (0.059, 0.098)","0.999 (0.999, 1.000)","0.600 (0.600, 0.750)",Model
0.48,"0.777 (0.775, 0.806)","0.980 (0.976, 0.980)","0.060 (0.059, 0.082)","0.999 (0.999, 1.000)","0.625 (0.600, 0.750)",Model
0.5,"0.777 (0.775, 0.806)","0.980 (0.976, 0.980)","0.060 (0.059, 0.066)","1.000 (1.000, 1.000)","0.750 (0.667, 1.000)",Model
0.52,"0.777 (0.775, 0.806)","0.980 (0.975, 0.980)","0.059 (0.033, 0.060)","1.000 (1.000, 1.000)","1.000 (0.667, 1.000)",Model
0.54,"0.777 (0.775, 0.806)","0.980 (0.976, 0.980)","0.040 (0.033, 0.059)","1.000 (1.000, 1.000)","1.000 (1.000, 1.000)",Model
0.56,"0.777 (0.775, 0.806)","0.980 (0.976, 0.980)","0.040 (0.033, 0.059)","1.000 (1.000, 1.000)","1.000 (1.000, 1.000)",Model
0.58,"0.777 (0.775, 0.806)","0.980 (0.976, 0.980)","0.040 (0.033, 0.059)","1.000 (1.000, 1.000)","1.000 (1.000, 1.000)",Model
0.02,"0.646 (0.606, 0.699)","0.022 (0.021, 0.025)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.021, 0.025)",AlloSure
0.04,"0.646 (0.606, 0.699)","0.022 (0.021, 0.025)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.021, 0.025)",AlloSure
0.06,"0.646 (0.606, 0.699)","0.022 (0.021, 0.025)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.021, 0.025)",AlloSure
0.08,"0.646 (0.606, 0.699)","0.022 (0.021, 0.025)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.021, 0.025)",AlloSure
0.1,"0.646 (0.606, 0.699)","0.022 (0.021, 0.025)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.021, 0.025)",AlloSure
0.12,"0.646 (0.606, 0.699)","0.661 (0.659, 0.664)","0.571 (0.500, 0.662)","0.664 (0.662, 0.664)","0.037 (0.030, 0.051)",AlloSure
0.14,"0.646 (0.606, 0.699)","0.735 (0.735, 0.747)","0.536 (0.480, 0.618)","0.741 (0.740, 0.750)","0.045 (0.036, 0.064)",AlloSure
0.16,"0.646 (0.606, 0.699)","0.763 (0.762, 0.772)","0.536 (0.440, 0.559)","0.770 (0.770, 0.778)","0.050 (0.039, 0.065)",AlloSure
0.18,"0.646 (0.606, 0.699)","0.787 (0.786, 0.799)","0.500 (0.431, 0.529)","0.795 (0.793, 0.807)","0.052 (0.043, 0.070)",AlloSure
0.2,"0.646 (0.606, 0.699)","0.807 (0.805, 0.821)","0.482 (0.400, 0.529)","0.815 (0.813, 0.829)","0.056 (0.043, 0.078)",AlloSure
0.22,"0.646 (0.606, 0.699)","0.820 (0.820, 0.828)","0.429 (0.360, 0.485)","0.830 (0.829, 0.838)","0.054 (0.043, 0.076)",AlloSure
0.24,"0.646 (0.606, 0.699)","0.831 (0.830, 0.838)","0.357 (0.340, 0.475)","0.841 (0.841, 0.848)","0.049 (0.043, 0.081)",AlloSure
0.26,"0.646 (0.606, 0.699)","0.841 (0.839, 0.848)","0.357 (0.320, 0.471)","0.852 (0.850, 0.858)","0.052 (0.042, 0.084)",AlloSure
0.28,"0.646 (0.606, 0.699)","0.849 (0.848, 0.853)","0.357 (0.300, 0.441)","0.861 (0.859, 0.864)","0.055 (0.042, 0.082)",AlloSure
0.3,"0.646 (0.606, 0.699)","0.857 (0.854, 0.858)","0.321 (0.280, 0.426)","0.868 (0.867, 0.870)","0.052 (0.042, 0.084)",AlloSure
0.32,"0.646 (0.606, 0.699)","0.863 (0.861, 0.863)","0.321 (0.280, 0.410)","0.875 (0.873, 0.875)","0.055 (0.044, 0.088)",AlloSure
0.34,"0.646 (0.606, 0.699)","0.866 (0.866, 0.869)","0.304 (0.260, 0.410)","0.879 (0.878, 0.881)","0.054 (0.044, 0.090)",AlloSure
0.36,"0.646 (0.606, 0.699)","0.872 (0.872, 0.872)","0.286 (0.260, 0.393)","0.885 (0.885, 0.885)","0.053 (0.046, 0.090)",AlloSure
0.38,"0.646 (0.606, 0.699)","0.877 (0.875, 0.879)","0.286 (0.260, 0.393)","0.889 (0.888, 0.893)","0.055 (0.049, 0.093)",AlloSure
0.4,"0.646 (0.606, 0.699)","0.881 (0.878, 0.882)","0.268 (0.260, 0.393)","0.895 (0.892, 0.896)","0.054 (0.050, 0.094)",AlloSure
0.42,"0.646 (0.606, 0.699)","0.884 (0.883, 0.888)","0.268 (0.260, 0.393)","0.898 (0.895, 0.901)","0.055 (0.053, 0.096)",AlloSure
0.44,"0.646 (0.606, 0.699)","0.888 (0.887, 0.889)","0.268 (0.255, 0.393)","0.902 (0.900, 0.903)","0.057 (0.054, 0.100)",AlloSure
0.46,"0.646 (0.606, 0.699)","0.891 (0.890, 0.892)","0.268 (0.255, 0.361)","0.905 (0.904, 0.906)","0.058 (0.055, 0.096)",AlloSure
0.48,"0.646 (0.606, 0.699)","0.896 (0.894, 0.898)","0.268 (0.255, 0.353)","0.909 (0.909, 0.912)","0.061 (0.059, 0.096)",AlloSure
0.5,"0.646 (0.606, 0.699)","0.900 (0.896, 0.900)","0.268 (0.240, 0.328)","0.913 (0.911, 0.914)","0.062 (0.056, 0.098)",AlloSure
0.52,"0.646 (0.606, 0.699)","0.904 (0.899, 0.904)","0.268 (0.240, 0.311)","0.917 (0.914, 0.918)","0.065 (0.059, 0.098)",AlloSure
0.54,"0.646 (0.606, 0.699)","0.906 (0.900, 0.908)","0.268 (0.220, 0.279)","0.920 (0.916, 0.923)","0.066 (0.057, 0.096)",AlloSure
0.56,"0.646 (0.606, 0.699)","0.910 (0.903, 0.911)","0.268 (0.220, 0.279)","0.924 (0.919, 0.926)","0.068 (0.059, 0.099)",AlloSure
0.58,"0.646 (0.606, 0.699)","0.913 (0.905, 0.913)","0.268 (0.220, 0.279)","0.927 (0.921, 0.928)","0.068 (0.060, 0.101)",AlloSure
0.02,"0.633 (0.564, 0.667)","0.392 (0.390, 0.408)","0.706 (0.660, 0.765)","0.386 (0.380, 0.403)","0.025 (0.022, 0.031)",Logistic Regression
0.04,"0.633 (0.564, 0.667)","0.965 (0.963, 0.965)","0.059 (0.059, 0.066)","0.987 (0.985, 0.988)","0.111 (0.103, 0.122)",Logistic Regression
0.06,"0.633 (0.564, 0.667)","0.972 (0.970, 0.974)","0.039 (0.015, 0.049)","0.994 (0.992, 0.995)","0.133 (0.050, 0.176)",Logistic Regression
0.08,"0.633 (0.564, 0.667)","0.975 (0.972, 0.975)","0.020 (0.000, 0.036)","0.995 (0.995, 0.996)","0.083 (0.000, 0.231)",Logistic Regression
0.1,"0.633 (0.564, 0.667)","0.976 (0.972, 0.976)","0.000 (0.000, 0.020)","0.997 (0.997, 0.997)","0.000 (0.000, 0.125)",Logistic Regression
0.12,"0.633 (0.564, 0.667)","0.977 (0.973, 0.977)","0.000 (0.000, 0.000)","0.998 (0.997, 0.998)","0.000 (0.000, 0.000)",Logistic Regression
0.14,"0.633 (0.564, 0.667)","0.977 (0.974, 0.977)","0.000 (0.000, 0.000)","0.998 (0.998, 0.999)","0.000 (0.000, 0.000)",Logistic Regression
0.16,"0.633 (0.564, 0.667)","0.977 (0.974, 0.978)","0.000 (0.000, 0.000)","0.999 (0.998, 0.999)","0.000 (0.000, 0.000)",Logistic Regression
0.18,"0.633 (0.564, 0.667)","0.977 (0.974, 0.978)","0.000 (0.000, 0.000)","0.999 (0.998, 0.999)","0.000 (0.000, 0.000)",Logistic Regression
0.2,"0.633 (0.564, 0.667)","0.977 (0.975, 0.978)","0.000 (0.000, 0.000)","0.999 (0.998, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.22,"0.633 (0.564, 0.667)","0.977 (0.975, 0.978)","0.000 (0.000, 0.000)","0.999 (0.999, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.24,"0.633 (0.564, 0.667)","0.977 (0.975, 0.978)","0.000 (0.000, 0.000)","0.999 (0.999, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.26,"0.633 (0.564, 0.667)","0.977 (0.975, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.28,"0.633 (0.564, 0.667)","0.977 (0.975, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.3,"0.633 (0.564, 0.667)","0.977 (0.975, 0.978)","0.000 (0.000, 0.000)","1.000 (0.999, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.32,"0.633 (0.564, 0.667)","0.977 (0.975, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.34,"0.633 (0.564, 0.667)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.36,"0.633 (0.564, 0.667)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.38,"0.633 (0.564, 0.667)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.4,"0.633 (0.564, 0.667)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.42,"0.633 (0.564, 0.667)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.44,"0.633 (0.564, 0.667)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.46,"0.633 (0.564, 0.667)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.48,"0.633 (0.564, 0.667)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.5,"0.633 (0.564, 0.667)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.52,"0.633 (0.564, 0.667)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.54,"0.633 (0.564, 0.667)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.56,"0.633 (0.564, 0.667)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
0.58,"0.633 (0.564, 0.667)","0.978 (0.975, 0.979)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression
