Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.783 (0.777, 0.793)","0.022 (0.021, 0.025)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.021, 0.025)",Model
0.01,"0.783 (0.777, 0.793)","0.374 (0.365, 0.376)","0.929 (0.882, 0.934)","0.364 (0.352, 0.364)","0.032 (0.031, 0.036)",Model
0.02,"0.783 (0.777, 0.793)","0.697 (0.690, 0.699)","0.696 (0.676, 0.740)","0.697 (0.688, 0.699)","0.050 (0.048, 0.058)",Model
0.03,"0.783 (0.777, 0.793)","0.845 (0.843, 0.847)","0.557 (0.549, 0.580)","0.852 (0.849, 0.854)","0.082 (0.075, 0.084)",Model
0.04,"0.783 (0.777, 0.793)","0.910 (0.906, 0.913)","0.459 (0.431, 0.482)","0.919 (0.918, 0.923)","0.125 (0.111, 0.126)",Model
0.05,"0.783 (0.777, 0.793)","0.942 (0.941, 0.945)","0.393 (0.392, 0.440)","0.955 (0.954, 0.955)","0.168 (0.156, 0.183)",Model
0.06,"0.783 (0.777, 0.793)","0.957 (0.953, 0.959)","0.361 (0.353, 0.411)","0.970 (0.968, 0.971)","0.224 (0.207, 0.236)",Model
0.07,"0.783 (0.777, 0.793)","0.965 (0.963, 0.966)","0.344 (0.324, 0.357)","0.980 (0.979, 0.980)","0.290 (0.239, 0.300)",Model
0.08,"0.783 (0.777, 0.793)","0.968 (0.966, 0.970)","0.280 (0.235, 0.311)","0.984 (0.983, 0.985)","0.275 (0.235, 0.317)",Model
0.09,"0.783 (0.777, 0.793)","0.969 (0.968, 0.972)","0.280 (0.235, 0.295)","0.985 (0.985, 0.988)","0.318 (0.258, 0.333)",Model
0.1,"0.783 (0.777, 0.793)","0.971 (0.968, 0.973)","0.268 (0.221, 0.279)","0.988 (0.986, 0.989)","0.340 (0.268, 0.366)",Model
0.11,"0.783 (0.777, 0.793)","0.973 (0.969, 0.973)","0.214 (0.191, 0.240)","0.990 (0.987, 0.991)","0.343 (0.281, 0.348)",Model
0.12,"0.783 (0.777, 0.793)","0.974 (0.971, 0.974)","0.196 (0.191, 0.200)","0.991 (0.990, 0.991)","0.333 (0.310, 0.344)",Model
0.13,"0.783 (0.777, 0.793)","0.974 (0.973, 0.974)","0.196 (0.191, 0.200)","0.992 (0.991, 0.992)","0.357 (0.344, 0.361)",Model
0.14,"0.783 (0.777, 0.793)","0.974 (0.973, 0.974)","0.196 (0.191, 0.200)","0.992 (0.992, 0.992)","0.370 (0.367, 0.382)",Model
0.15,"0.783 (0.777, 0.793)","0.975 (0.974, 0.976)","0.180 (0.176, 0.196)","0.993 (0.993, 0.993)","0.375 (0.360, 0.407)",Model
0.16,"0.783 (0.777, 0.793)","0.976 (0.975, 0.976)","0.179 (0.176, 0.180)","0.994 (0.993, 0.994)","0.400 (0.360, 0.417)",Model
0.17,"0.783 (0.777, 0.793)","0.977 (0.975, 0.977)","0.179 (0.162, 0.180)","0.995 (0.995, 0.995)","0.440 (0.429, 0.455)",Model
0.18,"0.783 (0.777, 0.793)","0.976 (0.975, 0.977)","0.160 (0.132, 0.179)","0.995 (0.995, 0.995)","0.409 (0.400, 0.455)",Model
0.19,"0.783 (0.777, 0.793)","0.977 (0.974, 0.977)","0.160 (0.118, 0.161)","0.996 (0.995, 0.996)","0.444 (0.400, 0.450)",Model
0.2,"0.783 (0.777, 0.793)","0.977 (0.975, 0.978)","0.120 (0.118, 0.143)","0.996 (0.996, 0.996)","0.462 (0.412, 0.471)",Model
0.21,"0.783 (0.777, 0.793)","0.978 (0.974, 0.979)","0.120 (0.118, 0.143)","0.997 (0.996, 0.997)","0.462 (0.455, 0.500)",Model
0.22,"0.783 (0.777, 0.793)","0.978 (0.974, 0.979)","0.120 (0.118, 0.143)","0.997 (0.996, 0.998)","0.500 (0.429, 0.500)",Model
0.23,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.120 (0.118, 0.143)","0.997 (0.996, 0.998)","0.500 (0.474, 0.500)",Model
0.24,"0.783 (0.777, 0.793)","0.978 (0.975, 0.980)","0.120 (0.118, 0.143)","0.998 (0.996, 0.998)","0.571 (0.474, 0.600)",Model
0.25,"0.783 (0.777, 0.793)","0.979 (0.975, 0.980)","0.120 (0.118, 0.143)","0.998 (0.997, 0.998)","0.600 (0.474, 0.615)",Model
0.26,"0.783 (0.777, 0.793)","0.979 (0.975, 0.980)","0.120 (0.118, 0.143)","0.998 (0.997, 0.998)","0.600 (0.474, 0.615)",Model
0.27,"0.783 (0.777, 0.793)","0.979 (0.975, 0.980)","0.120 (0.118, 0.143)","0.998 (0.997, 0.999)","0.667 (0.500, 0.667)",Model
0.28,"0.783 (0.777, 0.793)","0.979 (0.975, 0.981)","0.120 (0.118, 0.131)","0.998 (0.997, 0.999)","0.667 (0.500, 0.667)",Model
0.29,"0.783 (0.777, 0.793)","0.979 (0.975, 0.981)","0.120 (0.118, 0.131)","0.998 (0.998, 0.999)","0.667 (0.538, 0.667)",Model
0.3,"0.783 (0.777, 0.793)","0.979 (0.975, 0.981)","0.120 (0.118, 0.131)","0.998 (0.998, 0.999)","0.667 (0.538, 0.667)",Model
0.31,"0.783 (0.777, 0.793)","0.979 (0.975, 0.981)","0.120 (0.118, 0.125)","0.998 (0.998, 0.999)","0.636 (0.538, 0.667)",Model
0.32,"0.783 (0.777, 0.793)","0.979 (0.976, 0.981)","0.120 (0.118, 0.125)","0.998 (0.998, 0.999)","0.636 (0.583, 0.667)",Model
0.33,"0.783 (0.777, 0.793)","0.979 (0.976, 0.981)","0.120 (0.118, 0.125)","0.998 (0.998, 0.999)","0.636 (0.636, 0.667)",Model
0.34,"0.783 (0.777, 0.793)","0.979 (0.976, 0.981)","0.118 (0.115, 0.120)","0.999 (0.998, 0.999)","0.667 (0.636, 0.667)",Model
0.35000000000000003,"0.783 (0.777, 0.793)","0.979 (0.976, 0.981)","0.118 (0.098, 0.120)","0.999 (0.998, 0.999)","0.636 (0.625, 0.667)",Model
0.36,"0.783 (0.777, 0.793)","0.979 (0.975, 0.980)","0.082 (0.078, 0.100)","0.999 (0.998, 0.999)","0.636 (0.571, 0.667)",Model
0.37,"0.783 (0.777, 0.793)","0.979 (0.975, 0.980)","0.078 (0.066, 0.100)","0.999 (0.999, 0.999)","0.636 (0.600, 0.667)",Model
0.38,"0.783 (0.777, 0.793)","0.978 (0.975, 0.980)","0.078 (0.066, 0.080)","0.999 (0.999, 0.999)","0.600 (0.600, 0.667)",Model
0.39,"0.783 (0.777, 0.793)","0.978 (0.975, 0.980)","0.078 (0.066, 0.080)","0.999 (0.999, 0.999)","0.600 (0.600, 0.667)",Model
0.4,"0.783 (0.777, 0.793)","0.978 (0.975, 0.980)","0.078 (0.049, 0.080)","0.999 (0.999, 0.999)","0.600 (0.500, 0.667)",Model
0.41000000000000003,"0.783 (0.777, 0.793)","0.978 (0.975, 0.980)","0.078 (0.049, 0.080)","0.999 (0.999, 0.999)","0.600 (0.500, 0.667)",Model
0.42,"0.783 (0.777, 0.793)","0.978 (0.975, 0.980)","0.078 (0.049, 0.080)","0.999 (0.999, 1.000)","0.667 (0.600, 0.667)",Model
0.43,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.059 (0.033, 0.060)","0.999 (0.999, 1.000)","0.600 (0.500, 0.667)",Model
0.44,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.059 (0.033, 0.060)","0.999 (0.999, 1.000)","0.600 (0.500, 0.667)",Model
0.45,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.059 (0.033, 0.060)","0.999 (0.999, 1.000)","0.600 (0.500, 0.667)",Model
0.46,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.059 (0.033, 0.060)","1.000 (0.999, 1.000)","0.667 (0.600, 0.667)",Model
0.47000000000000003,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.039 (0.033, 0.060)","1.000 (0.999, 1.000)","0.667 (0.500, 0.667)",Model
0.48,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.039 (0.033, 0.060)","1.000 (0.999, 1.000)","0.667 (0.500, 0.667)",Model
0.49,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.039 (0.033, 0.060)","1.000 (0.999, 1.000)","0.667 (0.500, 0.667)",Model
0.5,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.039 (0.033, 0.060)","1.000 (0.999, 1.000)","0.667 (0.500, 0.667)",Model
0.51,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.039 (0.033, 0.060)","1.000 (0.999, 1.000)","0.667 (0.500, 0.667)",Model
0.52,"0.783 (0.777, 0.793)","0.978 (0.975, 0.979)","0.039 (0.033, 0.060)","1.000 (0.999, 1.000)","0.667 (0.500, 0.667)",Model
0.53,"0.783 (0.777, 0.793)","0.978 (0.976, 0.979)","0.039 (0.033, 0.060)","1.000 (0.999, 1.000)","0.667 (0.500, 0.750)",Model
0.54,"0.783 (0.777, 0.793)","0.978 (0.976, 0.979)","0.039 (0.033, 0.060)","1.000 (0.999, 1.000)","0.667 (0.500, 0.750)",Model
0.55,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.039 (0.016, 0.054)","1.000 (0.999, 1.000)","0.500 (0.500, 0.750)",Model
0.56,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.039 (0.016, 0.054)","1.000 (0.999, 1.000)","0.500 (0.500, 0.750)",Model
0.5700000000000001,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.039 (0.016, 0.054)","1.000 (0.999, 1.000)","0.500 (0.500, 0.750)",Model
0.58,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.039 (0.016, 0.054)","1.000 (0.999, 1.000)","0.500 (0.500, 0.750)",Model
0.59,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.039 (0.016, 0.054)","1.000 (0.999, 1.000)","0.500 (0.500, 0.750)",Model
0.6,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.039 (0.016, 0.054)","1.000 (0.999, 1.000)","0.500 (0.500, 0.750)",Model
0.61,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.036 (0.016, 0.039)","1.000 (0.999, 1.000)","0.500 (0.500, 0.750)",Model
0.62,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.036 (0.016, 0.039)","1.000 (1.000, 1.000)","1.000 (0.667, 1.000)",Model
0.63,"0.783 (0.777, 0.793)","0.977 (0.975, 0.980)","0.036 (0.016, 0.039)","1.000 (1.000, 1.000)","1.000 (1.000, 1.000)",Model
0.64,"0.783 (0.777, 0.793)","0.977 (0.975, 0.980)","0.036 (0.016, 0.039)","1.000 (1.000, 1.000)","1.000 (1.000, 1.000)",Model
0.65,"0.783 (0.777, 0.793)","0.977 (0.975, 0.980)","0.036 (0.016, 0.039)","1.000 (1.000, 1.000)","1.000 (1.000, 1.000)",Model
0.66,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.020 (0.016, 0.036)","1.000 (1.000, 1.000)","1.000 (0.333, 1.000)",Model
0.67,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.020 (0.016, 0.036)","1.000 (1.000, 1.000)","1.000 (0.333, 1.000)",Model
0.68,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.020 (0.016, 0.036)","1.000 (1.000, 1.000)","1.000 (0.400, 1.000)",Model
0.6900000000000001,"0.783 (0.777, 0.793)","0.977 (0.975, 0.979)","0.018 (0.016, 0.020)","1.000 (1.000, 1.000)","1.000 (0.250, 1.000)",Model
