Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.02,"0.784 (0.784, 0.784)","0.260 (0.260, 0.260)","0.933 (0.933, 0.933)","0.203 (0.203, 0.203)","0.090 (0.090, 0.090)",Model
0.04,"0.784 (0.784, 0.784)","0.416 (0.416, 0.416)","0.933 (0.933, 0.933)","0.372 (0.372, 0.372)","0.112 (0.112, 0.112)",Model
0.06,"0.784 (0.784, 0.784)","0.514 (0.514, 0.514)","0.900 (0.900, 0.900)","0.482 (0.482, 0.482)","0.128 (0.128, 0.128)",Model
0.08,"0.784 (0.784, 0.784)","0.590 (0.590, 0.590)","0.867 (0.867, 0.867)","0.566 (0.566, 0.566)","0.144 (0.144, 0.144)",Model
0.1,"0.784 (0.784, 0.784)","0.722 (0.722, 0.722)","0.700 (0.700, 0.700)","0.724 (0.724, 0.724)","0.176 (0.176, 0.176)",Model
0.12,"0.784 (0.784, 0.784)","0.792 (0.792, 0.792)","0.600 (0.600, 0.600)","0.808 (0.808, 0.808)","0.209 (0.209, 0.209)",Model
0.14,"0.784 (0.784, 0.784)","0.857 (0.857, 0.857)","0.500 (0.500, 0.500)","0.887 (0.887, 0.887)","0.273 (0.273, 0.273)",Model
0.16,"0.784 (0.784, 0.784)","0.878 (0.878, 0.878)","0.400 (0.400, 0.400)","0.918 (0.918, 0.918)","0.293 (0.293, 0.293)",Model
0.18,"0.784 (0.784, 0.784)","0.891 (0.891, 0.891)","0.267 (0.267, 0.267)","0.944 (0.944, 0.944)","0.286 (0.286, 0.286)",Model
0.2,"0.784 (0.784, 0.784)","0.894 (0.894, 0.894)","0.133 (0.133, 0.133)","0.958 (0.958, 0.958)","0.211 (0.211, 0.211)",Model
0.22,"0.784 (0.784, 0.784)","0.912 (0.912, 0.912)","0.100 (0.100, 0.100)","0.980 (0.980, 0.980)","0.300 (0.300, 0.300)",Model
0.24,"0.784 (0.784, 0.784)","0.912 (0.912, 0.912)","0.100 (0.100, 0.100)","0.980 (0.980, 0.980)","0.300 (0.300, 0.300)",Model
0.26,"0.784 (0.784, 0.784)","0.912 (0.912, 0.912)","0.000 (0.000, 0.000)","0.989 (0.989, 0.989)","0.000 (0.000, 0.000)",Model
0.28,"0.784 (0.784, 0.784)","0.919 (0.919, 0.919)","0.000 (0.000, 0.000)","0.997 (0.997, 0.997)","0.000 (0.000, 0.000)",Model
0.3,"0.784 (0.784, 0.784)","0.922 (0.922, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.32,"0.784 (0.784, 0.784)","0.922 (0.922, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.34,"0.784 (0.784, 0.784)","0.922 (0.922, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.36,"0.784 (0.784, 0.784)","0.922 (0.922, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.38,"0.784 (0.784, 0.784)","0.922 (0.922, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.4,"0.784 (0.784, 0.784)","0.922 (0.922, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.42,"0.784 (0.784, 0.784)","0.922 (0.922, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.44,"0.784 (0.784, 0.784)","0.922 (0.922, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.46,"0.784 (0.784, 0.784)","0.922 (0.922, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.48,"0.784 (0.784, 0.784)","0.922 (0.922, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5,"0.784 (0.784, 0.784)","0.922 (0.922, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.52,"0.784 (0.784, 0.784)","0.922 (0.922, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.54,"0.784 (0.784, 0.784)","0.922 (0.922, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.56,"0.784 (0.784, 0.784)","0.922 (0.922, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.58,"0.784 (0.784, 0.784)","0.922 (0.922, 0.922)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
