Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.696 (0.667, 0.667)","0.025 (0.024, 0.024)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.025 (0.024, 0.024)",Model
0.01,"0.696 (0.667, 0.667)","0.212 (0.160, 0.160)","0.913 (0.863, 0.863)","0.194 (0.141, 0.141)","0.028 (0.026, 0.026)",Model
0.02,"0.696 (0.667, 0.667)","0.565 (0.548, 0.548)","0.693 (0.634, 0.634)","0.562 (0.544, 0.544)","0.038 (0.035, 0.035)",Model
0.03,"0.696 (0.667, 0.667)","0.741 (0.731, 0.731)","0.521 (0.488, 0.488)","0.747 (0.738, 0.738)","0.050 (0.046, 0.046)",Model
0.04,"0.696 (0.667, 0.667)","0.841 (0.829, 0.829)","0.397 (0.390, 0.390)","0.853 (0.843, 0.843)","0.065 (0.061, 0.061)",Model
0.05,"0.696 (0.667, 0.667)","0.898 (0.890, 0.890)","0.307 (0.268, 0.268)","0.913 (0.906, 0.906)","0.082 (0.073, 0.073)",Model
0.06,"0.696 (0.667, 0.667)","0.931 (0.927, 0.927)","0.243 (0.220, 0.220)","0.948 (0.944, 0.944)","0.104 (0.094, 0.094)",Model
0.07,"0.696 (0.667, 0.667)","0.950 (0.950, 0.950)","0.191 (0.146, 0.146)","0.969 (0.969, 0.969)","0.134 (0.130, 0.130)",Model
0.08,"0.696 (0.667, 0.667)","0.961 (0.956, 0.956)","0.138 (0.118, 0.118)","0.982 (0.980, 0.980)","0.163 (0.146, 0.146)",Model
0.09,"0.696 (0.667, 0.667)","0.966 (0.961, 0.961)","0.110 (0.080, 0.080)","0.988 (0.987, 0.987)","0.186 (0.160, 0.160)",Model
0.1,"0.696 (0.667, 0.667)","0.970 (0.964, 0.964)","0.106 (0.060, 0.060)","0.992 (0.990, 0.990)","0.250 (0.167, 0.167)",Model
0.11,"0.696 (0.667, 0.667)","0.971 (0.966, 0.966)","0.092 (0.040, 0.040)","0.994 (0.993, 0.993)","0.267 (0.143, 0.143)",Model
0.12,"0.696 (0.667, 0.667)","0.973 (0.969, 0.969)","0.092 (0.040, 0.040)","0.996 (0.995, 0.995)","0.329 (0.182, 0.182)",Model
0.13,"0.696 (0.667, 0.667)","0.974 (0.971, 0.971)","0.092 (0.040, 0.040)","0.997 (0.996, 0.996)","0.402 (0.250, 0.250)",Model
0.14,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.083 (0.040, 0.040)","0.998 (0.997, 0.997)","0.417 (0.333, 0.333)",Model
0.15,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.072 (0.040, 0.040)","0.998 (0.997, 0.997)","0.400 (0.333, 0.333)",Model
0.16,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.063 (0.024, 0.024)","0.998 (0.997, 0.997)","0.400 (0.500, 0.500)",Model
0.17,"0.696 (0.667, 0.667)","0.974 (0.971, 0.971)","0.044 (0.000, 0.000)","0.998 (0.997, 0.997)","0.244 (0.000, 0.000)",Model
0.18,"0.696 (0.667, 0.667)","0.975 (0.971, 0.971)","0.044 (0.000, 0.000)","0.998 (0.997, 0.997)","0.244 (0.000, 0.000)",Model
0.19,"0.696 (0.667, 0.667)","0.975 (0.971, 0.971)","0.044 (0.000, 0.000)","0.999 (0.998, 0.998)","0.270 (0.000, 0.000)",Model
0.2,"0.696 (0.667, 0.667)","0.975 (0.971, 0.971)","0.028 (0.000, 0.000)","0.999 (0.998, 0.998)","0.232 (0.000, 0.000)",Model
0.21,"0.696 (0.667, 0.667)","0.975 (0.971, 0.971)","0.024 (0.000, 0.000)","0.999 (0.999, 0.999)","0.247 (0.000, 0.000)",Model
0.22,"0.696 (0.667, 0.667)","0.975 (0.971, 0.971)","0.020 (0.000, 0.000)","0.999 (0.999, 0.999)","0.180 (0.000, 0.000)",Model
0.23,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.020 (0.000, 0.000)","0.999 (0.999, 0.999)","0.200 (0.000, 0.000)",Model
0.24,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.020 (0.000, 0.000)","1.000 (0.999, 0.999)","0.333 (0.000, 0.000)",Model
0.25,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.020 (0.000, 0.000)","1.000 (0.999, 0.999)","0.333 (0.000, 0.000)",Model
0.26,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.020 (0.000, 0.000)","1.000 (0.999, 0.999)","0.333 (0.000, 0.000)",Model
0.27,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.014 (0.000, 0.000)","1.000 (0.999, 0.999)","0.333 (0.000, 0.000)",Model
0.28,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.014 (0.000, 0.000)","1.000 (0.999, 0.999)","0.333 (0.000, 0.000)",Model
0.29,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.008 (0.000, 0.000)","1.000 (0.999, 0.999)","0.133 (0.000, 0.000)",Model
0.3,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.31,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.32,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.33,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.34,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.35000000000000003,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.36,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.37,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.38,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.39,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.4,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.41000000000000003,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.42,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.43,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.44,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.45,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.46,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.47000000000000003,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.48,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.49,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.51,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.52,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.53,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.54,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.55,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.56,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5700000000000001,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.58,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.59,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.61,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.62,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.63,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.64,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.65,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.66,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.67,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.68,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6900000000000001,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.7000000000000001,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.71,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.72,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.73,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.74,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.75,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.76,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.77,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.78,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.79,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.81,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8200000000000001,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8300000000000001,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.84,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.85,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.86,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.87,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.88,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.89,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.91,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.92,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.93,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9400000000000001,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9500000000000001,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.96,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.97,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.98,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.99,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.0,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.01,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.0,"0.672 (0.630, 0.630)","0.066 (0.064, 0.064)","0.979 (0.976, 0.976)","0.043 (0.041, 0.041)","0.025 (0.024, 0.024)",AlloSure
0.01,"0.672 (0.630, 0.630)","0.131 (0.131, 0.131)","0.936 (0.927, 0.927)","0.110 (0.109, 0.109)","0.026 (0.025, 0.025)",AlloSure
0.02,"0.672 (0.630, 0.630)","0.213 (0.209, 0.209)","0.904 (0.900, 0.900)","0.195 (0.188, 0.188)","0.028 (0.026, 0.026)",AlloSure
0.03,"0.672 (0.630, 0.630)","0.301 (0.293, 0.293)","0.883 (0.860, 0.860)","0.286 (0.276, 0.276)","0.031 (0.029, 0.029)",AlloSure
0.04,"0.672 (0.630, 0.630)","0.377 (0.367, 0.367)","0.793 (0.732, 0.732)","0.367 (0.355, 0.355)","0.031 (0.028, 0.028)",AlloSure
