Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.661 (0.597, 0.597)","0.036 (0.029, 0.029)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.036 (0.029, 0.029)",Model
0.01,"0.661 (0.597, 0.597)","0.211 (0.208, 0.208)","0.862 (0.857, 0.857)","0.187 (0.185, 0.185)","0.036 (0.032, 0.032)",Model
0.02,"0.661 (0.597, 0.597)","0.484 (0.476, 0.476)","0.714 (0.714, 0.714)","0.478 (0.463, 0.463)","0.048 (0.038, 0.038)",Model
0.03,"0.661 (0.597, 0.597)","0.628 (0.622, 0.622)","0.476 (0.476, 0.476)","0.633 (0.626, 0.626)","0.045 (0.037, 0.037)",Model
0.04,"0.661 (0.597, 0.597)","0.748 (0.732, 0.732)","0.429 (0.381, 0.381)","0.757 (0.740, 0.740)","0.045 (0.040, 0.040)",Model
0.05,"0.661 (0.597, 0.597)","0.802 (0.802, 0.802)","0.381 (0.286, 0.286)","0.821 (0.817, 0.817)","0.055 (0.045, 0.045)",Model
0.06,"0.661 (0.597, 0.597)","0.843 (0.838, 0.838)","0.286 (0.238, 0.238)","0.862 (0.862, 0.862)","0.052 (0.049, 0.049)",Model
0.07,"0.661 (0.597, 0.597)","0.869 (0.867, 0.867)","0.238 (0.238, 0.238)","0.887 (0.886, 0.886)","0.059 (0.056, 0.056)",Model
0.08,"0.661 (0.597, 0.597)","0.888 (0.887, 0.887)","0.238 (0.238, 0.238)","0.908 (0.907, 0.907)","0.071 (0.067, 0.067)",Model
0.09,"0.661 (0.597, 0.597)","0.926 (0.922, 0.922)","0.190 (0.143, 0.143)","0.953 (0.953, 0.953)","0.089 (0.088, 0.088)",Model
0.1,"0.661 (0.597, 0.597)","0.938 (0.927, 0.927)","0.095 (0.074, 0.074)","0.968 (0.959, 0.959)","0.105 (0.095, 0.095)",Model
0.11,"0.661 (0.597, 0.597)","0.954 (0.946, 0.946)","0.095 (0.074, 0.074)","0.981 (0.980, 0.980)","0.167 (0.125, 0.125)",Model
0.12,"0.661 (0.597, 0.597)","0.956 (0.950, 0.950)","0.095 (0.069, 0.069)","0.985 (0.984, 0.984)","0.154 (0.154, 0.154)",Model
0.13,"0.661 (0.597, 0.597)","0.956 (0.953, 0.953)","0.095 (0.069, 0.069)","0.988 (0.987, 0.987)","0.182 (0.182, 0.182)",Model
0.14,"0.661 (0.597, 0.597)","0.958 (0.956, 0.956)","0.048 (0.048, 0.048)","0.991 (0.990, 0.990)","0.143 (0.143, 0.143)",Model
0.15,"0.661 (0.597, 0.597)","0.958 (0.957, 0.957)","0.048 (0.048, 0.048)","0.991 (0.991, 0.991)","0.167 (0.143, 0.143)",Model
0.16,"0.661 (0.597, 0.597)","0.960 (0.958, 0.958)","0.048 (0.048, 0.048)","0.993 (0.993, 0.993)","0.200 (0.167, 0.167)",Model
0.17,"0.661 (0.597, 0.597)","0.960 (0.959, 0.959)","0.048 (0.048, 0.048)","0.994 (0.993, 0.993)","0.200 (0.167, 0.167)",Model
0.18,"0.661 (0.597, 0.597)","0.961 (0.959, 0.959)","0.048 (0.000, 0.000)","0.995 (0.994, 0.994)","0.200 (0.000, 0.000)",Model
0.19,"0.661 (0.597, 0.597)","0.963 (0.959, 0.959)","0.048 (0.000, 0.000)","0.995 (0.994, 0.994)","0.250 (0.000, 0.000)",Model
0.2,"0.661 (0.597, 0.597)","0.964 (0.959, 0.959)","0.048 (0.000, 0.000)","0.995 (0.994, 0.994)","0.250 (0.000, 0.000)",Model
0.21,"0.661 (0.597, 0.597)","0.964 (0.962, 0.962)","0.048 (0.000, 0.000)","0.997 (0.996, 0.996)","0.250 (0.000, 0.000)",Model
0.22,"0.661 (0.597, 0.597)","0.965 (0.962, 0.962)","0.048 (0.000, 0.000)","0.997 (0.997, 0.997)","0.333 (0.000, 0.000)",Model
0.23,"0.661 (0.597, 0.597)","0.965 (0.962, 0.962)","0.034 (0.000, 0.000)","0.999 (0.997, 0.997)","0.200 (0.000, 0.000)",Model
0.24,"0.661 (0.597, 0.597)","0.964 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (0.997, 0.997)","0.000 (0.000, 0.000)",Model
0.25,"0.661 (0.597, 0.597)","0.964 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (0.997, 0.997)","0.000 (0.000, 0.000)",Model
0.26,"0.661 (0.597, 0.597)","0.964 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (0.997, 0.997)","0.000 (0.000, 0.000)",Model
0.27,"0.661 (0.597, 0.597)","0.964 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (0.997, 0.997)","0.000 (0.000, 0.000)",Model
