Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.660 (0.617, 0.617)","0.033 (0.030, 0.030)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.033 (0.030, 0.030)",Model
0.01,"0.660 (0.617, 0.617)","0.182 (0.123, 0.123)","0.902 (0.818, 0.818)","0.157 (0.096, 0.096)","0.036 (0.031, 0.031)",Model
0.02,"0.660 (0.617, 0.617)","0.438 (0.384, 0.384)","0.761 (0.682, 0.682)","0.427 (0.369, 0.369)","0.043 (0.041, 0.041)",Model
0.03,"0.660 (0.617, 0.617)","0.605 (0.588, 0.588)","0.633 (0.591, 0.591)","0.604 (0.588, 0.588)","0.051 (0.046, 0.046)",Model
0.04,"0.660 (0.617, 0.617)","0.725 (0.713, 0.713)","0.535 (0.455, 0.455)","0.732 (0.721, 0.721)","0.062 (0.050, 0.050)",Model
0.05,"0.660 (0.617, 0.617)","0.798 (0.792, 0.792)","0.425 (0.370, 0.370)","0.811 (0.806, 0.806)","0.070 (0.060, 0.060)",Model
0.06,"0.660 (0.617, 0.617)","0.844 (0.832, 0.832)","0.348 (0.296, 0.296)","0.862 (0.859, 0.859)","0.076 (0.066, 0.066)",Model
0.07,"0.660 (0.617, 0.617)","0.885 (0.878, 0.878)","0.252 (0.185, 0.185)","0.907 (0.897, 0.897)","0.083 (0.065, 0.065)",Model
0.08,"0.660 (0.617, 0.617)","0.910 (0.905, 0.905)","0.168 (0.148, 0.148)","0.936 (0.923, 0.923)","0.084 (0.070, 0.070)",Model
0.09,"0.660 (0.617, 0.617)","0.929 (0.925, 0.925)","0.120 (0.088, 0.088)","0.957 (0.947, 0.947)","0.094 (0.064, 0.064)",Model
0.1,"0.660 (0.617, 0.617)","0.945 (0.940, 0.940)","0.103 (0.088, 0.088)","0.974 (0.964, 0.964)","0.139 (0.077, 0.077)",Model
0.11,"0.660 (0.617, 0.617)","0.951 (0.947, 0.947)","0.075 (0.059, 0.059)","0.981 (0.977, 0.977)","0.141 (0.080, 0.080)",Model
0.12,"0.660 (0.617, 0.617)","0.955 (0.951, 0.951)","0.067 (0.059, 0.059)","0.986 (0.982, 0.982)","0.168 (0.095, 0.095)",Model
0.13,"0.660 (0.617, 0.617)","0.960 (0.958, 0.958)","0.050 (0.040, 0.040)","0.991 (0.990, 0.990)","0.198 (0.111, 0.111)",Model
0.14,"0.660 (0.617, 0.617)","0.962 (0.961, 0.961)","0.043 (0.040, 0.040)","0.993 (0.992, 0.992)","0.235 (0.133, 0.133)",Model
0.15,"0.660 (0.617, 0.617)","0.962 (0.963, 0.963)","0.028 (0.000, 0.000)","0.994 (0.992, 0.992)","0.249 (0.000, 0.000)",Model
0.16,"0.660 (0.617, 0.617)","0.962 (0.962, 0.962)","0.021 (0.000, 0.000)","0.995 (0.992, 0.992)","0.217 (0.000, 0.000)",Model
0.17,"0.660 (0.617, 0.617)","0.963 (0.962, 0.962)","0.015 (0.000, 0.000)","0.995 (0.994, 0.994)","0.300 (0.000, 0.000)",Model
0.18,"0.660 (0.617, 0.617)","0.963 (0.962, 0.962)","0.007 (0.000, 0.000)","0.996 (0.996, 0.996)","0.100 (0.000, 0.000)",Model
0.19,"0.660 (0.617, 0.617)","0.964 (0.964, 0.964)","0.007 (0.000, 0.000)","0.997 (0.996, 0.996)","0.200 (0.000, 0.000)",Model
0.2,"0.660 (0.617, 0.617)","0.964 (0.962, 0.962)","0.000 (0.000, 0.000)","0.998 (0.996, 0.996)","0.000 (0.000, 0.000)",Model
0.21,"0.660 (0.617, 0.617)","0.965 (0.962, 0.962)","0.000 (0.000, 0.000)","0.998 (0.996, 0.996)","0.000 (0.000, 0.000)",Model
0.22,"0.660 (0.617, 0.617)","0.965 (0.962, 0.962)","0.000 (0.000, 0.000)","0.998 (0.996, 0.996)","0.000 (0.000, 0.000)",Model
0.23,"0.660 (0.617, 0.617)","0.965 (0.962, 0.962)","0.000 (0.000, 0.000)","0.998 (0.996, 0.996)","0.000 (0.000, 0.000)",Model
0.24,"0.660 (0.617, 0.617)","0.965 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (0.997, 0.997)","0.000 (0.000, 0.000)",Model
0.25,"0.660 (0.617, 0.617)","0.965 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (0.997, 0.997)","0.000 (0.000, 0.000)",Model
0.26,"0.660 (0.617, 0.617)","0.965 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (0.997, 0.997)","0.000 (0.000, 0.000)",Model
0.27,"0.660 (0.617, 0.617)","0.965 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (0.997, 0.997)","0.000 (0.000, 0.000)",Model
0.28,"0.660 (0.617, 0.617)","0.965 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (0.997, 0.997)","0.000 (0.000, 0.000)",Model
0.29,"0.660 (0.617, 0.617)","0.966 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.3,"0.660 (0.617, 0.617)","0.966 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.31,"0.660 (0.617, 0.617)","0.966 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.32,"0.660 (0.617, 0.617)","0.966 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.33,"0.660 (0.617, 0.617)","0.966 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.34,"0.660 (0.617, 0.617)","0.966 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.35000000000000003,"0.660 (0.617, 0.617)","0.966 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.36,"0.660 (0.617, 0.617)","0.966 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.37,"0.660 (0.617, 0.617)","0.966 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.38,"0.660 (0.617, 0.617)","0.966 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.39,"0.660 (0.617, 0.617)","0.966 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.4,"0.660 (0.617, 0.617)","0.966 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.41000000000000003,"0.660 (0.617, 0.617)","0.966 (0.962, 0.962)","0.000 (0.000, 0.000)","0.999 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
