Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.676 (0.662, 0.662)","0.029 (0.023, 0.023)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.029 (0.023, 0.023)",Model
0.01,"0.676 (0.662, 0.662)","0.255 (0.231, 0.231)","0.922 (0.935, 0.935)","0.236 (0.210, 0.210)","0.035 (0.031, 0.031)",Model
0.02,"0.676 (0.662, 0.662)","0.516 (0.505, 0.505)","0.713 (0.689, 0.689)","0.511 (0.500, 0.500)","0.042 (0.034, 0.034)",Model
0.03,"0.676 (0.662, 0.662)","0.667 (0.664, 0.664)","0.564 (0.533, 0.533)","0.671 (0.664, 0.664)","0.049 (0.043, 0.043)",Model
0.04,"0.676 (0.662, 0.662)","0.776 (0.770, 0.770)","0.397 (0.355, 0.355)","0.787 (0.779, 0.779)","0.054 (0.038, 0.038)",Model
0.05,"0.676 (0.662, 0.662)","0.850 (0.842, 0.842)","0.326 (0.292, 0.292)","0.865 (0.857, 0.857)","0.071 (0.046, 0.046)",Model
0.06,"0.676 (0.662, 0.662)","0.893 (0.885, 0.885)","0.257 (0.194, 0.194)","0.912 (0.909, 0.909)","0.083 (0.064, 0.064)",Model
0.07,"0.676 (0.662, 0.662)","0.917 (0.907, 0.907)","0.238 (0.161, 0.161)","0.937 (0.933, 0.933)","0.106 (0.075, 0.075)",Model
0.08,"0.676 (0.662, 0.662)","0.936 (0.932, 0.932)","0.164 (0.065, 0.065)","0.959 (0.960, 0.960)","0.115 (0.056, 0.056)",Model
0.09,"0.676 (0.662, 0.662)","0.947 (0.936, 0.936)","0.137 (0.065, 0.065)","0.971 (0.967, 0.967)","0.130 (0.091, 0.091)",Model
0.1,"0.676 (0.662, 0.662)","0.954 (0.946, 0.946)","0.117 (0.065, 0.065)","0.979 (0.975, 0.975)","0.160 (0.129, 0.129)",Model
0.11,"0.676 (0.662, 0.662)","0.959 (0.954, 0.954)","0.098 (0.065, 0.065)","0.984 (0.981, 0.981)","0.188 (0.125, 0.125)",Model
0.12,"0.676 (0.662, 0.662)","0.962 (0.960, 0.960)","0.068 (0.062, 0.062)","0.989 (0.983, 0.983)","0.203 (0.125, 0.125)",Model
0.13,"0.676 (0.662, 0.662)","0.966 (0.964, 0.964)","0.053 (0.042, 0.042)","0.993 (0.988, 0.988)","0.286 (0.111, 0.111)",Model
0.14,"0.676 (0.662, 0.662)","0.967 (0.968, 0.968)","0.030 (0.031, 0.031)","0.995 (0.990, 0.990)","0.452 (0.091, 0.091)",Model
0.15,"0.676 (0.662, 0.662)","0.968 (0.969, 0.969)","0.030 (0.031, 0.031)","0.996 (0.991, 0.991)","0.453 (0.100, 0.100)",Model
0.16,"0.676 (0.662, 0.662)","0.968 (0.970, 0.970)","0.030 (0.031, 0.031)","0.996 (0.992, 0.992)","0.456 (0.111, 0.111)",Model
0.17,"0.676 (0.662, 0.662)","0.968 (0.970, 0.970)","0.017 (0.000, 0.000)","0.997 (0.994, 0.994)","0.065 (0.000, 0.000)",Model
0.18,"0.676 (0.662, 0.662)","0.968 (0.970, 0.970)","0.009 (0.000, 0.000)","0.997 (0.994, 0.994)","0.040 (0.000, 0.000)",Model
0.19,"0.676 (0.662, 0.662)","0.969 (0.970, 0.970)","0.009 (0.000, 0.000)","0.998 (0.997, 0.997)","0.050 (0.000, 0.000)",Model
0.2,"0.676 (0.662, 0.662)","0.969 (0.970, 0.970)","0.004 (0.000, 0.000)","0.998 (0.998, 0.998)","0.029 (0.000, 0.000)",Model
0.21,"0.676 (0.662, 0.662)","0.970 (0.970, 0.970)","0.004 (0.000, 0.000)","0.998 (0.998, 0.998)","0.033 (0.000, 0.000)",Model
0.22,"0.676 (0.662, 0.662)","0.970 (0.970, 0.970)","0.004 (0.000, 0.000)","0.999 (0.998, 0.998)","0.040 (0.000, 0.000)",Model
0.23,"0.676 (0.662, 0.662)","0.970 (0.970, 0.970)","0.004 (0.000, 0.000)","0.999 (0.998, 0.998)","0.040 (0.000, 0.000)",Model
0.24,"0.676 (0.662, 0.662)","0.970 (0.970, 0.970)","0.004 (0.000, 0.000)","0.999 (0.998, 0.998)","0.040 (0.000, 0.000)",Model
0.25,"0.676 (0.662, 0.662)","0.970 (0.970, 0.970)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.26,"0.676 (0.662, 0.662)","0.970 (0.970, 0.970)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.27,"0.676 (0.662, 0.662)","0.970 (0.970, 0.970)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.28,"0.676 (0.662, 0.662)","0.970 (0.970, 0.970)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.29,"0.676 (0.662, 0.662)","0.970 (0.970, 0.970)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.3,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.31,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.32,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.33,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.34,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.35000000000000003,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.36,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.37,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.38,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.39,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.4,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.41000000000000003,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.42,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.43,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.44,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.45,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.46,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.47000000000000003,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.48,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.49,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.51,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.52,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.53,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.54,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.55,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.56,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5700000000000001,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.58,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.59,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
