Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.641 (0.612, 0.612)","0.033 (0.028, 0.028)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.033 (0.028, 0.028)",Model
0.01,"0.641 (0.612, 0.612)","0.278 (0.261, 0.261)","0.846 (0.857, 0.857)","0.259 (0.244, 0.244)","0.038 (0.031, 0.031)",Model
0.02,"0.641 (0.612, 0.612)","0.524 (0.479, 0.479)","0.668 (0.621, 0.621)","0.519 (0.473, 0.473)","0.046 (0.037, 0.037)",Model
0.03,"0.641 (0.612, 0.612)","0.661 (0.618, 0.618)","0.550 (0.552, 0.552)","0.665 (0.616, 0.616)","0.055 (0.040, 0.040)",Model
0.04,"0.641 (0.612, 0.612)","0.743 (0.713, 0.713)","0.453 (0.429, 0.429)","0.753 (0.717, 0.717)","0.062 (0.041, 0.041)",Model
0.05,"0.641 (0.612, 0.612)","0.802 (0.783, 0.783)","0.426 (0.429, 0.429)","0.815 (0.788, 0.788)","0.075 (0.053, 0.053)",Model
0.06,"0.641 (0.612, 0.612)","0.845 (0.836, 0.836)","0.335 (0.333, 0.333)","0.862 (0.848, 0.848)","0.081 (0.054, 0.054)",Model
0.07,"0.641 (0.612, 0.612)","0.873 (0.873, 0.873)","0.272 (0.190, 0.190)","0.894 (0.889, 0.889)","0.088 (0.040, 0.040)",Model
0.08,"0.641 (0.612, 0.612)","0.896 (0.890, 0.890)","0.218 (0.143, 0.143)","0.919 (0.909, 0.909)","0.091 (0.043, 0.043)",Model
0.09,"0.641 (0.612, 0.612)","0.912 (0.909, 0.909)","0.161 (0.095, 0.095)","0.938 (0.929, 0.929)","0.093 (0.038, 0.038)",Model
0.1,"0.641 (0.612, 0.612)","0.924 (0.923, 0.923)","0.141 (0.095, 0.095)","0.951 (0.945, 0.945)","0.099 (0.050, 0.050)",Model
0.11,"0.641 (0.612, 0.612)","0.933 (0.932, 0.932)","0.130 (0.095, 0.095)","0.961 (0.954, 0.954)","0.114 (0.059, 0.059)",Model
0.12,"0.641 (0.612, 0.612)","0.941 (0.939, 0.939)","0.098 (0.048, 0.048)","0.970 (0.965, 0.965)","0.116 (0.037, 0.037)",Model
