Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.634 (0.600, 0.600)","0.036 (0.035, 0.035)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.036 (0.035, 0.035)",Model
0.01,"0.634 (0.600, 0.600)","0.260 (0.202, 0.202)","0.842 (0.741, 0.741)","0.239 (0.178, 0.178)","0.040 (0.037, 0.037)",Model
0.02,"0.634 (0.600, 0.600)","0.493 (0.473, 0.473)","0.655 (0.588, 0.588)","0.487 (0.470, 0.470)","0.046 (0.042, 0.042)",Model
0.03,"0.634 (0.600, 0.600)","0.639 (0.630, 0.630)","0.535 (0.471, 0.471)","0.643 (0.634, 0.634)","0.054 (0.047, 0.047)",Model
0.04,"0.634 (0.600, 0.600)","0.729 (0.716, 0.716)","0.483 (0.435, 0.435)","0.739 (0.725, 0.725)","0.066 (0.056, 0.056)",Model
0.05,"0.634 (0.600, 0.600)","0.790 (0.776, 0.776)","0.402 (0.348, 0.348)","0.805 (0.789, 0.789)","0.075 (0.054, 0.054)",Model
0.06,"0.634 (0.600, 0.600)","0.831 (0.835, 0.835)","0.362 (0.333, 0.333)","0.848 (0.850, 0.850)","0.085 (0.065, 0.065)",Model
0.07,"0.634 (0.600, 0.600)","0.863 (0.865, 0.865)","0.310 (0.259, 0.259)","0.883 (0.882, 0.882)","0.094 (0.078, 0.078)",Model
0.08,"0.634 (0.600, 0.600)","0.885 (0.892, 0.892)","0.266 (0.222, 0.222)","0.908 (0.911, 0.911)","0.106 (0.075, 0.075)",Model
0.09,"0.634 (0.600, 0.600)","0.898 (0.909, 0.909)","0.196 (0.185, 0.185)","0.924 (0.932, 0.932)","0.099 (0.068, 0.068)",Model
0.1,"0.634 (0.600, 0.600)","0.910 (0.919, 0.919)","0.188 (0.167, 0.167)","0.937 (0.945, 0.945)","0.112 (0.083, 0.083)",Model
0.11,"0.634 (0.600, 0.600)","0.922 (0.923, 0.923)","0.153 (0.111, 0.111)","0.950 (0.954, 0.954)","0.107 (0.097, 0.097)",Model
0.12,"0.634 (0.600, 0.600)","0.928 (0.933, 0.933)","0.144 (0.111, 0.111)","0.957 (0.964, 0.964)","0.116 (0.113, 0.113)",Model
0.13,"0.634 (0.600, 0.600)","0.932 (0.932, 0.932)","0.096 (0.059, 0.059)","0.964 (0.971, 0.971)","0.090 (0.056, 0.056)",Model
0.14,"0.634 (0.600, 0.600)","0.938 (0.935, 0.935)","0.079 (0.042, 0.042)","0.970 (0.972, 0.972)","0.090 (0.062, 0.062)",Model
0.15,"0.634 (0.600, 0.600)","0.943 (0.935, 0.935)","0.079 (0.042, 0.042)","0.975 (0.975, 0.975)","0.109 (0.077, 0.077)",Model
0.16,"0.634 (0.600, 0.600)","0.946 (0.938, 0.938)","0.079 (0.042, 0.042)","0.978 (0.979, 0.979)","0.127 (0.077, 0.077)",Model
0.17,"0.634 (0.600, 0.600)","0.948 (0.940, 0.940)","0.070 (0.037, 0.037)","0.981 (0.980, 0.980)","0.113 (0.077, 0.077)",Model
0.18,"0.634 (0.600, 0.600)","0.951 (0.940, 0.940)","0.055 (0.000, 0.000)","0.984 (0.982, 0.982)","0.108 (0.000, 0.000)",Model
0.19,"0.634 (0.600, 0.600)","0.952 (0.942, 0.942)","0.055 (0.000, 0.000)","0.986 (0.984, 0.984)","0.114 (0.000, 0.000)",Model
0.2,"0.634 (0.600, 0.600)","0.954 (0.945, 0.945)","0.055 (0.000, 0.000)","0.987 (0.987, 0.987)","0.120 (0.000, 0.000)",Model
0.21,"0.634 (0.600, 0.600)","0.954 (0.945, 0.945)","0.055 (0.000, 0.000)","0.988 (0.987, 0.987)","0.127 (0.000, 0.000)",Model
0.22,"0.634 (0.600, 0.600)","0.955 (0.946, 0.946)","0.043 (0.000, 0.000)","0.989 (0.988, 0.988)","0.090 (0.000, 0.000)",Model
0.23,"0.634 (0.600, 0.600)","0.956 (0.948, 0.948)","0.034 (0.000, 0.000)","0.991 (0.990, 0.990)","0.077 (0.000, 0.000)",Model
0.24,"0.634 (0.600, 0.600)","0.958 (0.950, 0.950)","0.034 (0.000, 0.000)","0.992 (0.992, 0.992)","0.093 (0.000, 0.000)",Model
0.25,"0.634 (0.600, 0.600)","0.958 (0.951, 0.951)","0.026 (0.000, 0.000)","0.993 (0.993, 0.993)","0.050 (0.000, 0.000)",Model
0.26,"0.634 (0.600, 0.600)","0.959 (0.951, 0.951)","0.026 (0.000, 0.000)","0.994 (0.993, 0.993)","0.050 (0.000, 0.000)",Model
0.27,"0.634 (0.600, 0.600)","0.959 (0.952, 0.952)","0.026 (0.000, 0.000)","0.994 (0.993, 0.993)","0.055 (0.000, 0.000)",Model
0.28,"0.634 (0.600, 0.600)","0.959 (0.952, 0.952)","0.026 (0.000, 0.000)","0.994 (0.993, 0.993)","0.055 (0.000, 0.000)",Model
0.29,"0.634 (0.600, 0.600)","0.960 (0.952, 0.952)","0.026 (0.000, 0.000)","0.995 (0.993, 0.993)","0.055 (0.000, 0.000)",Model
0.3,"0.634 (0.600, 0.600)","0.961 (0.952, 0.952)","0.026 (0.000, 0.000)","0.996 (0.993, 0.993)","0.055 (0.000, 0.000)",Model
0.31,"0.634 (0.600, 0.600)","0.961 (0.952, 0.952)","0.026 (0.000, 0.000)","0.996 (0.993, 0.993)","0.055 (0.000, 0.000)",Model
0.32,"0.634 (0.600, 0.600)","0.961 (0.952, 0.952)","0.026 (0.000, 0.000)","0.996 (0.993, 0.993)","0.055 (0.000, 0.000)",Model
0.33,"0.634 (0.600, 0.600)","0.960 (0.951, 0.951)","0.017 (0.000, 0.000)","0.996 (0.993, 0.993)","0.040 (0.000, 0.000)",Model
0.34,"0.634 (0.600, 0.600)","0.961 (0.952, 0.952)","0.017 (0.000, 0.000)","0.996 (0.993, 0.993)","0.044 (0.000, 0.000)",Model
0.35000000000000003,"0.634 (0.600, 0.600)","0.961 (0.952, 0.952)","0.017 (0.000, 0.000)","0.996 (0.993, 0.993)","0.044 (0.000, 0.000)",Model
0.36,"0.634 (0.600, 0.600)","0.961 (0.953, 0.953)","0.017 (0.000, 0.000)","0.996 (0.995, 0.995)","0.044 (0.000, 0.000)",Model
0.37,"0.634 (0.600, 0.600)","0.961 (0.953, 0.953)","0.017 (0.000, 0.000)","0.996 (0.995, 0.995)","0.044 (0.000, 0.000)",Model
0.38,"0.634 (0.600, 0.600)","0.960 (0.953, 0.953)","0.009 (0.000, 0.000)","0.996 (0.995, 0.995)","0.025 (0.000, 0.000)",Model
0.39,"0.634 (0.600, 0.600)","0.960 (0.953, 0.953)","0.009 (0.000, 0.000)","0.996 (0.995, 0.995)","0.025 (0.000, 0.000)",Model
0.4,"0.634 (0.600, 0.600)","0.960 (0.953, 0.953)","0.009 (0.000, 0.000)","0.996 (0.995, 0.995)","0.025 (0.000, 0.000)",Model
0.41000000000000003,"0.634 (0.600, 0.600)","0.961 (0.954, 0.954)","0.009 (0.000, 0.000)","0.997 (0.997, 0.997)","0.025 (0.000, 0.000)",Model
0.42,"0.634 (0.600, 0.600)","0.961 (0.954, 0.954)","0.009 (0.000, 0.000)","0.997 (0.997, 0.997)","0.025 (0.000, 0.000)",Model
0.43,"0.634 (0.600, 0.600)","0.961 (0.954, 0.954)","0.009 (0.000, 0.000)","0.997 (0.997, 0.997)","0.025 (0.000, 0.000)",Model
0.44,"0.634 (0.600, 0.600)","0.961 (0.954, 0.954)","0.009 (0.000, 0.000)","0.997 (0.997, 0.997)","0.025 (0.000, 0.000)",Model
0.45,"0.634 (0.600, 0.600)","0.962 (0.956, 0.956)","0.009 (0.000, 0.000)","0.998 (0.998, 0.998)","0.033 (0.000, 0.000)",Model
0.46,"0.634 (0.600, 0.600)","0.962 (0.956, 0.956)","0.009 (0.000, 0.000)","0.998 (0.998, 0.998)","0.033 (0.000, 0.000)",Model
0.47000000000000003,"0.634 (0.600, 0.600)","0.962 (0.956, 0.956)","0.009 (0.000, 0.000)","0.998 (0.998, 0.998)","0.033 (0.000, 0.000)",Model
0.48,"0.634 (0.600, 0.600)","0.962 (0.956, 0.956)","0.009 (0.000, 0.000)","0.998 (0.998, 0.998)","0.033 (0.000, 0.000)",Model
0.49,"0.634 (0.600, 0.600)","0.962 (0.956, 0.956)","0.009 (0.000, 0.000)","0.998 (0.998, 0.998)","0.040 (0.000, 0.000)",Model
0.5,"0.634 (0.600, 0.600)","0.962 (0.956, 0.956)","0.009 (0.000, 0.000)","0.998 (0.998, 0.998)","0.040 (0.000, 0.000)",Model
0.51,"0.634 (0.600, 0.600)","0.962 (0.956, 0.956)","0.009 (0.000, 0.000)","0.998 (0.998, 0.998)","0.040 (0.000, 0.000)",Model
0.52,"0.634 (0.600, 0.600)","0.962 (0.956, 0.956)","0.009 (0.000, 0.000)","0.998 (0.998, 0.998)","0.040 (0.000, 0.000)",Model
0.53,"0.634 (0.600, 0.600)","0.963 (0.957, 0.957)","0.009 (0.000, 0.000)","0.999 (0.998, 0.998)","0.050 (0.000, 0.000)",Model
0.54,"0.634 (0.600, 0.600)","0.963 (0.957, 0.957)","0.009 (0.000, 0.000)","0.999 (0.998, 0.998)","0.050 (0.000, 0.000)",Model
