Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.641 (0.631, 0.631)","0.031 (0.027, 0.027)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.031 (0.027, 0.027)",Model
0.01,"0.641 (0.631, 0.631)","0.353 (0.304, 0.304)","0.775 (0.769, 0.769)","0.340 (0.293, 0.293)","0.037 (0.026, 0.026)",Model
0.02,"0.641 (0.631, 0.631)","0.575 (0.536, 0.536)","0.648 (0.593, 0.593)","0.573 (0.532, 0.532)","0.046 (0.035, 0.035)",Model
0.03,"0.641 (0.631, 0.631)","0.710 (0.710, 0.710)","0.511 (0.391, 0.391)","0.717 (0.718, 0.718)","0.054 (0.045, 0.045)",Model
0.04,"0.641 (0.631, 0.631)","0.794 (0.792, 0.792)","0.411 (0.333, 0.333)","0.806 (0.805, 0.805)","0.064 (0.051, 0.051)",Model
0.05,"0.641 (0.631, 0.631)","0.838 (0.831, 0.831)","0.322 (0.217, 0.217)","0.854 (0.844, 0.844)","0.063 (0.059, 0.059)",Model
0.06,"0.641 (0.631, 0.631)","0.885 (0.885, 0.885)","0.260 (0.179, 0.179)","0.905 (0.912, 0.912)","0.080 (0.068, 0.068)",Model
0.07,"0.641 (0.631, 0.631)","0.909 (0.906, 0.906)","0.215 (0.130, 0.130)","0.931 (0.929, 0.929)","0.087 (0.074, 0.074)",Model
0.08,"0.641 (0.631, 0.631)","0.927 (0.921, 0.921)","0.173 (0.103, 0.103)","0.950 (0.941, 0.941)","0.093 (0.059, 0.059)",Model
0.09,"0.641 (0.631, 0.631)","0.936 (0.932, 0.932)","0.144 (0.087, 0.087)","0.961 (0.957, 0.957)","0.098 (0.070, 0.070)",Model
0.1,"0.641 (0.631, 0.631)","0.941 (0.935, 0.935)","0.126 (0.087, 0.087)","0.967 (0.963, 0.963)","0.100 (0.077, 0.077)",Model
0.11,"0.641 (0.631, 0.631)","0.945 (0.940, 0.940)","0.106 (0.043, 0.043)","0.971 (0.966, 0.966)","0.092 (0.056, 0.056)",Model
0.12,"0.641 (0.631, 0.631)","0.949 (0.945, 0.945)","0.101 (0.043, 0.043)","0.976 (0.970, 0.970)","0.106 (0.094, 0.094)",Model
0.13,"0.641 (0.631, 0.631)","0.953 (0.947, 0.947)","0.101 (0.043, 0.043)","0.980 (0.974, 0.974)","0.132 (0.120, 0.120)",Model
0.14,"0.641 (0.631, 0.631)","0.955 (0.950, 0.950)","0.101 (0.043, 0.043)","0.982 (0.976, 0.976)","0.148 (0.130, 0.130)",Model
0.15,"0.641 (0.631, 0.631)","0.957 (0.950, 0.950)","0.093 (0.043, 0.043)","0.984 (0.979, 0.979)","0.175 (0.095, 0.095)",Model
0.16,"0.641 (0.631, 0.631)","0.958 (0.952, 0.952)","0.079 (0.043, 0.043)","0.986 (0.981, 0.981)","0.206 (0.111, 0.111)",Model
0.17,"0.641 (0.631, 0.631)","0.959 (0.954, 0.954)","0.073 (0.043, 0.043)","0.987 (0.984, 0.984)","0.212 (0.118, 0.118)",Model
0.18,"0.641 (0.631, 0.631)","0.960 (0.954, 0.954)","0.061 (0.043, 0.043)","0.989 (0.984, 0.984)","0.184 (0.087, 0.087)",Model
0.19,"0.641 (0.631, 0.631)","0.960 (0.954, 0.954)","0.053 (0.037, 0.037)","0.989 (0.984, 0.984)","0.172 (0.071, 0.071)",Model
0.2,"0.641 (0.631, 0.631)","0.961 (0.955, 0.955)","0.053 (0.037, 0.037)","0.989 (0.985, 0.985)","0.176 (0.071, 0.071)",Model
0.21,"0.641 (0.631, 0.631)","0.962 (0.956, 0.956)","0.046 (0.037, 0.037)","0.991 (0.986, 0.986)","0.272 (0.059, 0.059)",Model
0.22,"0.641 (0.631, 0.631)","0.963 (0.957, 0.957)","0.046 (0.037, 0.037)","0.991 (0.986, 0.986)","0.275 (0.062, 0.062)",Model
0.23,"0.641 (0.631, 0.631)","0.963 (0.957, 0.957)","0.037 (0.000, 0.000)","0.992 (0.986, 0.986)","0.079 (0.000, 0.000)",Model
0.24,"0.641 (0.631, 0.631)","0.964 (0.958, 0.958)","0.037 (0.000, 0.000)","0.993 (0.989, 0.989)","0.083 (0.000, 0.000)",Model
0.25,"0.641 (0.631, 0.631)","0.964 (0.958, 0.958)","0.037 (0.000, 0.000)","0.993 (0.989, 0.989)","0.086 (0.000, 0.000)",Model
0.26,"0.641 (0.631, 0.631)","0.964 (0.958, 0.958)","0.037 (0.000, 0.000)","0.993 (0.989, 0.989)","0.086 (0.000, 0.000)",Model
0.27,"0.641 (0.631, 0.631)","0.965 (0.958, 0.958)","0.037 (0.000, 0.000)","0.994 (0.991, 0.991)","0.095 (0.000, 0.000)",Model
0.28,"0.641 (0.631, 0.631)","0.965 (0.958, 0.958)","0.037 (0.000, 0.000)","0.994 (0.992, 0.992)","0.101 (0.000, 0.000)",Model
0.29,"0.641 (0.631, 0.631)","0.965 (0.958, 0.958)","0.037 (0.000, 0.000)","0.995 (0.992, 0.992)","0.104 (0.000, 0.000)",Model
0.3,"0.641 (0.631, 0.631)","0.965 (0.958, 0.958)","0.030 (0.000, 0.000)","0.995 (0.992, 0.992)","0.076 (0.000, 0.000)",Model
0.31,"0.641 (0.631, 0.631)","0.966 (0.959, 0.959)","0.030 (0.000, 0.000)","0.995 (0.993, 0.993)","0.082 (0.000, 0.000)",Model
0.32,"0.641 (0.631, 0.631)","0.966 (0.959, 0.959)","0.030 (0.000, 0.000)","0.995 (0.993, 0.993)","0.082 (0.000, 0.000)",Model
0.33,"0.641 (0.631, 0.631)","0.966 (0.960, 0.960)","0.030 (0.000, 0.000)","0.995 (0.993, 0.993)","0.087 (0.000, 0.000)",Model
0.34,"0.641 (0.631, 0.631)","0.966 (0.960, 0.960)","0.030 (0.000, 0.000)","0.995 (0.993, 0.993)","0.087 (0.000, 0.000)",Model
0.35000000000000003,"0.641 (0.631, 0.631)","0.966 (0.960, 0.960)","0.030 (0.000, 0.000)","0.996 (0.994, 0.994)","0.090 (0.000, 0.000)",Model
0.36,"0.641 (0.631, 0.631)","0.966 (0.960, 0.960)","0.030 (0.000, 0.000)","0.996 (0.994, 0.994)","0.090 (0.000, 0.000)",Model
0.37,"0.641 (0.631, 0.631)","0.966 (0.960, 0.960)","0.030 (0.000, 0.000)","0.996 (0.994, 0.994)","0.090 (0.000, 0.000)",Model
0.38,"0.641 (0.631, 0.631)","0.966 (0.960, 0.960)","0.030 (0.000, 0.000)","0.996 (0.994, 0.994)","0.090 (0.000, 0.000)",Model
0.39,"0.641 (0.631, 0.631)","0.967 (0.961, 0.961)","0.030 (0.000, 0.000)","0.996 (0.994, 0.994)","0.095 (0.000, 0.000)",Model
0.4,"0.641 (0.631, 0.631)","0.967 (0.961, 0.961)","0.030 (0.000, 0.000)","0.996 (0.994, 0.994)","0.095 (0.000, 0.000)",Model
0.41000000000000003,"0.641 (0.631, 0.631)","0.967 (0.962, 0.962)","0.030 (0.000, 0.000)","0.997 (0.996, 0.996)","0.113 (0.000, 0.000)",Model
0.42,"0.641 (0.631, 0.631)","0.968 (0.962, 0.962)","0.030 (0.000, 0.000)","0.997 (0.996, 0.996)","0.113 (0.000, 0.000)",Model
0.43,"0.641 (0.631, 0.631)","0.968 (0.962, 0.962)","0.030 (0.000, 0.000)","0.997 (0.997, 0.997)","0.123 (0.000, 0.000)",Model
0.44,"0.641 (0.631, 0.631)","0.968 (0.962, 0.962)","0.030 (0.000, 0.000)","0.997 (0.997, 0.997)","0.123 (0.000, 0.000)",Model
0.45,"0.641 (0.631, 0.631)","0.968 (0.962, 0.962)","0.030 (0.000, 0.000)","0.998 (0.997, 0.997)","0.139 (0.000, 0.000)",Model
0.46,"0.641 (0.631, 0.631)","0.968 (0.963, 0.963)","0.030 (0.000, 0.000)","0.998 (0.997, 0.997)","0.147 (0.000, 0.000)",Model
0.47000000000000003,"0.641 (0.631, 0.631)","0.968 (0.963, 0.963)","0.030 (0.000, 0.000)","0.998 (0.997, 0.997)","0.147 (0.000, 0.000)",Model
0.48,"0.641 (0.631, 0.631)","0.968 (0.963, 0.963)","0.030 (0.000, 0.000)","0.998 (0.997, 0.997)","0.147 (0.000, 0.000)",Model
0.49,"0.641 (0.631, 0.631)","0.968 (0.963, 0.963)","0.030 (0.000, 0.000)","0.998 (0.997, 0.997)","0.147 (0.000, 0.000)",Model
0.5,"0.641 (0.631, 0.631)","0.968 (0.963, 0.963)","0.030 (0.000, 0.000)","0.998 (0.997, 0.997)","0.147 (0.000, 0.000)",Model
0.51,"0.641 (0.631, 0.631)","0.968 (0.963, 0.963)","0.030 (0.000, 0.000)","0.998 (0.997, 0.997)","0.147 (0.000, 0.000)",Model
0.52,"0.641 (0.631, 0.631)","0.968 (0.963, 0.963)","0.030 (0.000, 0.000)","0.998 (0.997, 0.997)","0.147 (0.000, 0.000)",Model
0.53,"0.641 (0.631, 0.631)","0.969 (0.965, 0.965)","0.030 (0.000, 0.000)","0.998 (0.997, 0.997)","0.167 (0.000, 0.000)",Model
0.54,"0.641 (0.631, 0.631)","0.968 (0.964, 0.964)","0.024 (0.000, 0.000)","0.998 (0.997, 0.997)","0.152 (0.000, 0.000)",Model
0.55,"0.641 (0.631, 0.631)","0.968 (0.964, 0.964)","0.024 (0.000, 0.000)","0.998 (0.997, 0.997)","0.152 (0.000, 0.000)",Model
0.56,"0.641 (0.631, 0.631)","0.968 (0.964, 0.964)","0.024 (0.000, 0.000)","0.998 (0.997, 0.997)","0.152 (0.000, 0.000)",Model
0.5700000000000001,"0.641 (0.631, 0.631)","0.969 (0.964, 0.964)","0.024 (0.000, 0.000)","0.998 (0.998, 0.998)","0.152 (0.000, 0.000)",Model
0.58,"0.641 (0.631, 0.631)","0.969 (0.964, 0.964)","0.024 (0.000, 0.000)","0.998 (0.998, 0.998)","0.152 (0.000, 0.000)",Model
0.59,"0.641 (0.631, 0.631)","0.969 (0.964, 0.964)","0.024 (0.000, 0.000)","0.998 (0.998, 0.998)","0.152 (0.000, 0.000)",Model
0.6,"0.641 (0.631, 0.631)","0.969 (0.965, 0.965)","0.024 (0.000, 0.000)","0.999 (0.998, 0.998)","0.167 (0.000, 0.000)",Model
0.61,"0.641 (0.631, 0.631)","0.969 (0.964, 0.964)","0.019 (0.000, 0.000)","0.999 (0.998, 0.998)","0.147 (0.000, 0.000)",Model
0.62,"0.641 (0.631, 0.631)","0.968 (0.964, 0.964)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.080 (0.000, 0.000)",Model
0.63,"0.641 (0.631, 0.631)","0.968 (0.964, 0.964)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.080 (0.000, 0.000)",Model
0.64,"0.641 (0.631, 0.631)","0.968 (0.964, 0.964)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.080 (0.000, 0.000)",Model
0.65,"0.641 (0.631, 0.631)","0.968 (0.964, 0.964)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.080 (0.000, 0.000)",Model
0.66,"0.641 (0.631, 0.631)","0.968 (0.964, 0.964)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.080 (0.000, 0.000)",Model
0.67,"0.641 (0.631, 0.631)","0.968 (0.964, 0.964)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.080 (0.000, 0.000)",Model
0.68,"0.641 (0.631, 0.631)","0.968 (0.964, 0.964)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.080 (0.000, 0.000)",Model
0.6900000000000001,"0.641 (0.631, 0.631)","0.968 (0.964, 0.964)","0.011 (0.000, 0.000)","0.999 (0.998, 0.998)","0.080 (0.000, 0.000)",Model
