Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.671 (0.665, 0.665)","0.026 (0.023, 0.023)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.026 (0.023, 0.023)",Model
0.01,"0.671 (0.665, 0.665)","0.209 (0.180, 0.180)","0.906 (0.865, 0.865)","0.190 (0.163, 0.163)","0.029 (0.025, 0.025)",Model
0.02,"0.671 (0.665, 0.665)","0.529 (0.515, 0.515)","0.705 (0.673, 0.673)","0.524 (0.508, 0.508)","0.038 (0.036, 0.036)",Model
0.03,"0.671 (0.665, 0.665)","0.706 (0.694, 0.694)","0.531 (0.538, 0.538)","0.711 (0.703, 0.703)","0.048 (0.042, 0.042)",Model
0.04,"0.671 (0.665, 0.665)","0.820 (0.793, 0.793)","0.368 (0.346, 0.346)","0.832 (0.806, 0.806)","0.057 (0.055, 0.055)",Model
0.05,"0.671 (0.665, 0.665)","0.887 (0.877, 0.877)","0.282 (0.233, 0.233)","0.904 (0.892, 0.892)","0.074 (0.056, 0.056)",Model
0.06,"0.671 (0.665, 0.665)","0.919 (0.912, 0.912)","0.240 (0.219, 0.219)","0.937 (0.929, 0.929)","0.094 (0.066, 0.066)",Model
0.07,"0.671 (0.665, 0.665)","0.944 (0.929, 0.929)","0.181 (0.154, 0.154)","0.964 (0.959, 0.959)","0.125 (0.114, 0.114)",Model
0.08,"0.671 (0.665, 0.665)","0.958 (0.953, 0.953)","0.131 (0.094, 0.094)","0.980 (0.974, 0.974)","0.161 (0.077, 0.077)",Model
0.09,"0.671 (0.665, 0.665)","0.962 (0.957, 0.957)","0.108 (0.094, 0.094)","0.985 (0.981, 0.981)","0.183 (0.103, 0.103)",Model
0.1,"0.671 (0.665, 0.665)","0.967 (0.963, 0.963)","0.097 (0.094, 0.094)","0.990 (0.987, 0.987)","0.228 (0.136, 0.136)",Model
0.11,"0.671 (0.665, 0.665)","0.969 (0.968, 0.968)","0.078 (0.062, 0.062)","0.993 (0.991, 0.991)","0.234 (0.143, 0.143)",Model
0.12,"0.671 (0.665, 0.665)","0.970 (0.970, 0.970)","0.066 (0.031, 0.031)","0.995 (0.994, 0.994)","0.247 (0.143, 0.143)",Model
0.13,"0.671 (0.665, 0.665)","0.970 (0.971, 0.971)","0.046 (0.029, 0.029)","0.995 (0.994, 0.994)","0.192 (0.167, 0.167)",Model
0.14,"0.671 (0.665, 0.665)","0.971 (0.971, 0.971)","0.033 (0.027, 0.027)","0.996 (0.996, 0.996)","0.197 (0.200, 0.200)",Model
0.15,"0.671 (0.665, 0.665)","0.972 (0.971, 0.971)","0.033 (0.027, 0.027)","0.997 (0.996, 0.996)","0.257 (0.200, 0.200)",Model
0.16,"0.671 (0.665, 0.665)","0.973 (0.973, 0.973)","0.024 (0.000, 0.000)","0.998 (0.998, 0.998)","0.202 (0.000, 0.000)",Model
0.17,"0.671 (0.665, 0.665)","0.973 (0.973, 0.973)","0.020 (0.000, 0.000)","0.999 (0.998, 0.998)","0.230 (0.000, 0.000)",Model
0.18,"0.671 (0.665, 0.665)","0.973 (0.973, 0.973)","0.020 (0.000, 0.000)","0.999 (0.998, 0.998)","0.230 (0.000, 0.000)",Model
0.19,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.020 (0.000, 0.000)","0.999 (0.999, 0.999)","0.280 (0.000, 0.000)",Model
0.2,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.020 (0.000, 0.000)","0.999 (0.999, 0.999)","0.280 (0.000, 0.000)",Model
0.21,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.020 (0.000, 0.000)","0.999 (0.999, 0.999)","0.280 (0.000, 0.000)",Model
0.22,"0.671 (0.665, 0.665)","0.973 (0.973, 0.973)","0.014 (0.000, 0.000)","0.999 (0.999, 0.999)","0.180 (0.000, 0.000)",Model
0.23,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.008 (0.000, 0.000)","1.000 (0.999, 0.999)","0.100 (0.000, 0.000)",Model
0.24,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.008 (0.000, 0.000)","1.000 (0.999, 0.999)","0.100 (0.000, 0.000)",Model
0.25,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.008 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.26,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.008 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.27,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.008 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.28,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.008 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.29,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.008 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.3,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.067 (0.000, 0.000)",Model
0.31,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.067 (0.000, 0.000)",Model
0.32,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.067 (0.000, 0.000)",Model
0.33,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.34,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.35000000000000003,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.36,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.37,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.38,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.004 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.39,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.4,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.41000000000000003,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.42,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.43,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.44,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.45,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.46,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.47000000000000003,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.48,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.49,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.51,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.52,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.53,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.54,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.55,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.56,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5700000000000001,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.58,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.59,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.61,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.62,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.63,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.64,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.65,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.66,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.67,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.68,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6900000000000001,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.7000000000000001,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.71,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.72,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.73,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.74,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.75,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.76,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.77,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.78,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.79,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.81,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8200000000000001,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8300000000000001,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.84,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.85,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.86,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.87,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.88,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.89,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.91,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.92,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.93,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9400000000000001,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9500000000000001,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.96,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.97,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.98,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.99,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.0,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.01,"0.671 (0.665, 0.665)","0.974 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.0,"0.665 (0.615, 0.615)","0.068 (0.067, 0.067)","0.986 (0.969, 0.969)","0.043 (0.038, 0.038)","0.027 (0.023, 0.023)",AlloSure
0.01,"0.665 (0.615, 0.615)","0.132 (0.130, 0.130)","0.939 (0.919, 0.919)","0.110 (0.109, 0.109)","0.028 (0.023, 0.023)",AlloSure
0.02,"0.665 (0.615, 0.615)","0.213 (0.205, 0.205)","0.902 (0.904, 0.904)","0.195 (0.187, 0.187)","0.029 (0.025, 0.025)",AlloSure
0.03,"0.665 (0.615, 0.615)","0.301 (0.291, 0.291)","0.881 (0.865, 0.865)","0.285 (0.275, 0.275)","0.032 (0.028, 0.028)",AlloSure
0.04,"0.665 (0.615, 0.615)","0.378 (0.369, 0.369)","0.787 (0.703, 0.703)","0.367 (0.353, 0.353)","0.032 (0.028, 0.028)",AlloSure
0.05,"0.665 (0.615, 0.615)","0.451 (0.437, 0.437)","0.758 (0.676, 0.676)","0.443 (0.426, 0.426)","0.035 (0.030, 0.030)",AlloSure
0.06,"0.665 (0.615, 0.615)","0.508 (0.489, 0.489)","0.706 (0.649, 0.649)","0.503 (0.483, 0.483)","0.036 (0.033, 0.033)",AlloSure
0.07,"0.665 (0.615, 0.615)","0.558 (0.538, 0.538)","0.686 (0.615, 0.615)","0.555 (0.535, 0.535)","0.039 (0.036, 0.036)",AlloSure
0.08,"0.665 (0.615, 0.615)","0.599 (0.570, 0.570)","0.631 (0.558, 0.558)","0.598 (0.571, 0.571)","0.040 (0.036, 0.036)",AlloSure
0.09,"0.665 (0.615, 0.615)","0.636 (0.615, 0.615)","0.601 (0.541, 0.541)","0.637 (0.617, 0.617)","0.042 (0.037, 0.037)",AlloSure
