Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.706 (0.683, 0.683)","0.022 (0.020, 0.020)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.020, 0.020)",Model
0.01,"0.706 (0.683, 0.683)","0.354 (0.349, 0.349)","0.842 (0.820, 0.820)","0.343 (0.339, 0.339)","0.028 (0.027, 0.027)",Model
0.02,"0.706 (0.683, 0.683)","0.691 (0.689, 0.689)","0.613 (0.596, 0.596)","0.693 (0.690, 0.690)","0.043 (0.040, 0.040)",Model
0.03,"0.706 (0.683, 0.683)","0.839 (0.836, 0.836)","0.449 (0.410, 0.410)","0.847 (0.847, 0.847)","0.063 (0.055, 0.055)",Model
0.04,"0.706 (0.683, 0.683)","0.902 (0.897, 0.897)","0.352 (0.344, 0.344)","0.914 (0.906, 0.906)","0.085 (0.084, 0.084)",Model
0.05,"0.706 (0.683, 0.683)","0.936 (0.932, 0.932)","0.309 (0.292, 0.292)","0.950 (0.947, 0.947)","0.125 (0.129, 0.129)",Model
0.06,"0.706 (0.683, 0.683)","0.950 (0.946, 0.946)","0.266 (0.215, 0.215)","0.966 (0.963, 0.963)","0.152 (0.147, 0.147)",Model
0.07,"0.706 (0.683, 0.683)","0.959 (0.954, 0.954)","0.240 (0.200, 0.200)","0.975 (0.972, 0.972)","0.179 (0.167, 0.167)",Model
0.08,"0.706 (0.683, 0.683)","0.963 (0.958, 0.958)","0.202 (0.173, 0.173)","0.980 (0.979, 0.979)","0.188 (0.153, 0.153)",Model
0.09,"0.706 (0.683, 0.683)","0.966 (0.963, 0.963)","0.183 (0.154, 0.154)","0.984 (0.982, 0.982)","0.202 (0.167, 0.167)",Model
0.1,"0.706 (0.683, 0.683)","0.968 (0.964, 0.964)","0.160 (0.123, 0.123)","0.986 (0.986, 0.986)","0.206 (0.185, 0.185)",Model
0.11,"0.706 (0.683, 0.683)","0.969 (0.966, 0.966)","0.148 (0.123, 0.123)","0.988 (0.988, 0.988)","0.218 (0.208, 0.208)",Model
0.12,"0.706 (0.683, 0.683)","0.971 (0.967, 0.967)","0.138 (0.108, 0.108)","0.990 (0.989, 0.989)","0.226 (0.212, 0.212)",Model
0.13,"0.706 (0.683, 0.683)","0.972 (0.968, 0.968)","0.128 (0.077, 0.077)","0.991 (0.991, 0.991)","0.232 (0.192, 0.192)",Model
0.14,"0.706 (0.683, 0.683)","0.973 (0.970, 0.970)","0.117 (0.077, 0.077)","0.993 (0.992, 0.992)","0.251 (0.217, 0.217)",Model
0.15,"0.706 (0.683, 0.683)","0.974 (0.970, 0.970)","0.109 (0.077, 0.077)","0.994 (0.993, 0.993)","0.274 (0.250, 0.250)",Model
0.16,"0.706 (0.683, 0.683)","0.975 (0.972, 0.972)","0.105 (0.077, 0.077)","0.994 (0.994, 0.994)","0.294 (0.286, 0.286)",Model
0.17,"0.706 (0.683, 0.683)","0.975 (0.972, 0.972)","0.097 (0.077, 0.077)","0.995 (0.995, 0.995)","0.313 (0.286, 0.286)",Model
0.18,"0.706 (0.683, 0.683)","0.976 (0.973, 0.973)","0.097 (0.077, 0.077)","0.996 (0.995, 0.995)","0.345 (0.353, 0.353)",Model
0.19,"0.706 (0.683, 0.683)","0.976 (0.973, 0.973)","0.077 (0.077, 0.077)","0.996 (0.996, 0.996)","0.322 (0.312, 0.312)",Model
0.2,"0.706 (0.683, 0.683)","0.976 (0.974, 0.974)","0.066 (0.049, 0.049)","0.997 (0.997, 0.997)","0.317 (0.214, 0.214)",Model
0.21,"0.706 (0.683, 0.683)","0.977 (0.974, 0.974)","0.066 (0.049, 0.049)","0.997 (0.997, 0.997)","0.352 (0.300, 0.300)",Model
