Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.654 (0.636, 0.636)","0.025 (0.024, 0.024)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.025 (0.024, 0.024)",Model
0.01,"0.654 (0.636, 0.636)","0.285 (0.280, 0.280)","0.852 (0.821, 0.821)","0.270 (0.263, 0.263)","0.029 (0.028, 0.028)",Model
0.02,"0.654 (0.636, 0.636)","0.575 (0.571, 0.571)","0.654 (0.615, 0.615)","0.573 (0.567, 0.567)","0.038 (0.035, 0.035)",Model
0.03,"0.654 (0.636, 0.636)","0.747 (0.738, 0.738)","0.441 (0.422, 0.422)","0.755 (0.747, 0.747)","0.045 (0.038, 0.038)",Model
0.04,"0.654 (0.636, 0.636)","0.840 (0.833, 0.833)","0.319 (0.282, 0.282)","0.853 (0.847, 0.847)","0.054 (0.046, 0.046)",Model
0.05,"0.654 (0.636, 0.636)","0.897 (0.889, 0.889)","0.231 (0.231, 0.231)","0.914 (0.907, 0.907)","0.066 (0.060, 0.060)",Model
0.06,"0.654 (0.636, 0.636)","0.928 (0.927, 0.927)","0.187 (0.150, 0.150)","0.947 (0.947, 0.947)","0.086 (0.060, 0.060)",Model
0.07,"0.654 (0.636, 0.636)","0.947 (0.942, 0.942)","0.142 (0.125, 0.125)","0.968 (0.963, 0.963)","0.103 (0.064, 0.064)",Model
0.08,"0.654 (0.636, 0.636)","0.956 (0.951, 0.951)","0.124 (0.108, 0.108)","0.977 (0.972, 0.972)","0.123 (0.086, 0.086)",Model
0.09,"0.654 (0.636, 0.636)","0.961 (0.960, 0.960)","0.109 (0.075, 0.075)","0.983 (0.981, 0.981)","0.147 (0.095, 0.095)",Model
0.1,"0.654 (0.636, 0.636)","0.966 (0.964, 0.964)","0.109 (0.075, 0.075)","0.988 (0.986, 0.986)","0.195 (0.133, 0.133)",Model
0.11,"0.654 (0.636, 0.636)","0.968 (0.966, 0.966)","0.105 (0.075, 0.075)","0.990 (0.988, 0.988)","0.218 (0.154, 0.154)",Model
0.12,"0.654 (0.636, 0.636)","0.970 (0.968, 0.968)","0.087 (0.075, 0.075)","0.992 (0.991, 0.991)","0.222 (0.150, 0.150)",Model
0.13,"0.654 (0.636, 0.636)","0.970 (0.969, 0.969)","0.082 (0.054, 0.054)","0.993 (0.992, 0.992)","0.230 (0.143, 0.143)",Model
0.14,"0.654 (0.636, 0.636)","0.971 (0.969, 0.969)","0.077 (0.027, 0.027)","0.994 (0.994, 0.994)","0.246 (0.143, 0.143)",Model
0.15,"0.654 (0.636, 0.636)","0.972 (0.969, 0.969)","0.067 (0.027, 0.027)","0.995 (0.995, 0.995)","0.246 (0.182, 0.182)",Model
0.16,"0.654 (0.636, 0.636)","0.973 (0.970, 0.970)","0.063 (0.027, 0.027)","0.996 (0.996, 0.996)","0.286 (0.222, 0.222)",Model
0.17,"0.654 (0.636, 0.636)","0.973 (0.970, 0.970)","0.058 (0.027, 0.027)","0.996 (0.996, 0.996)","0.228 (0.167, 0.167)",Model
0.18,"0.654 (0.636, 0.636)","0.973 (0.969, 0.969)","0.044 (0.025, 0.025)","0.997 (0.996, 0.996)","0.229 (0.125, 0.125)",Model
0.19,"0.654 (0.636, 0.636)","0.974 (0.971, 0.971)","0.044 (0.025, 0.025)","0.998 (0.997, 0.997)","0.295 (0.167, 0.167)",Model
0.2,"0.654 (0.636, 0.636)","0.974 (0.970, 0.970)","0.036 (0.025, 0.025)","0.998 (0.997, 0.997)","0.280 (0.167, 0.167)",Model
0.21,"0.654 (0.636, 0.636)","0.974 (0.971, 0.971)","0.032 (0.025, 0.025)","0.998 (0.997, 0.997)","0.288 (0.167, 0.167)",Model
0.22,"0.654 (0.636, 0.636)","0.974 (0.971, 0.971)","0.027 (0.000, 0.000)","0.998 (0.997, 0.997)","0.260 (0.000, 0.000)",Model
0.23,"0.654 (0.636, 0.636)","0.974 (0.971, 0.971)","0.022 (0.000, 0.000)","0.998 (0.997, 0.997)","0.250 (0.000, 0.000)",Model
0.24,"0.654 (0.636, 0.636)","0.974 (0.971, 0.971)","0.018 (0.000, 0.000)","0.998 (0.997, 0.997)","0.257 (0.000, 0.000)",Model
0.25,"0.654 (0.636, 0.636)","0.974 (0.971, 0.971)","0.018 (0.000, 0.000)","0.999 (0.998, 0.998)","0.457 (0.000, 0.000)",Model
0.26,"0.654 (0.636, 0.636)","0.974 (0.971, 0.971)","0.018 (0.000, 0.000)","0.999 (0.998, 0.998)","0.457 (0.000, 0.000)",Model
0.27,"0.654 (0.636, 0.636)","0.974 (0.971, 0.971)","0.013 (0.000, 0.000)","0.999 (0.998, 0.998)","0.257 (0.000, 0.000)",Model
0.28,"0.654 (0.636, 0.636)","0.974 (0.971, 0.971)","0.013 (0.000, 0.000)","0.999 (0.998, 0.998)","0.257 (0.000, 0.000)",Model
0.29,"0.654 (0.636, 0.636)","0.974 (0.971, 0.971)","0.013 (0.000, 0.000)","0.999 (0.998, 0.998)","0.257 (0.000, 0.000)",Model
0.3,"0.654 (0.636, 0.636)","0.974 (0.972, 0.972)","0.013 (0.000, 0.000)","0.999 (0.998, 0.998)","0.267 (0.000, 0.000)",Model
0.31,"0.654 (0.636, 0.636)","0.974 (0.971, 0.971)","0.004 (0.000, 0.000)","0.999 (0.998, 0.998)","0.040 (0.000, 0.000)",Model
0.32,"0.654 (0.636, 0.636)","0.974 (0.971, 0.971)","0.004 (0.000, 0.000)","0.999 (0.998, 0.998)","0.040 (0.000, 0.000)",Model
0.33,"0.654 (0.636, 0.636)","0.974 (0.972, 0.972)","0.004 (0.000, 0.000)","0.999 (0.998, 0.998)","0.050 (0.000, 0.000)",Model
