Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.593 (0.571, 0.571)","0.020 (0.016, 0.016)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.020 (0.016, 0.016)",Model
0.01,"0.593 (0.571, 0.571)","0.292 (0.236, 0.236)","0.762 (0.643, 0.643)","0.283 (0.229, 0.229)","0.021 (0.017, 0.017)",Model
0.02,"0.593 (0.571, 0.571)","0.666 (0.628, 0.628)","0.472 (0.440, 0.440)","0.670 (0.630, 0.630)","0.030 (0.019, 0.019)",Model
0.03,"0.593 (0.571, 0.571)","0.867 (0.861, 0.861)","0.296 (0.250, 0.250)","0.878 (0.869, 0.869)","0.045 (0.037, 0.037)",Model
0.04,"0.593 (0.571, 0.571)","0.937 (0.922, 0.922)","0.187 (0.143, 0.143)","0.952 (0.940, 0.940)","0.073 (0.059, 0.059)",Model
0.05,"0.593 (0.571, 0.571)","0.955 (0.939, 0.939)","0.160 (0.143, 0.143)","0.971 (0.960, 0.960)","0.107 (0.095, 0.095)",Model
0.06,"0.593 (0.571, 0.571)","0.964 (0.949, 0.949)","0.132 (0.120, 0.120)","0.981 (0.971, 0.971)","0.146 (0.079, 0.079)",Model
0.07,"0.593 (0.571, 0.571)","0.970 (0.956, 0.956)","0.086 (0.071, 0.071)","0.987 (0.977, 0.977)","0.140 (0.120, 0.120)",Model
0.08,"0.593 (0.571, 0.571)","0.974 (0.964, 0.964)","0.086 (0.071, 0.071)","0.991 (0.988, 0.988)","0.167 (0.125, 0.125)",Model
0.09,"0.593 (0.571, 0.571)","0.974 (0.965, 0.965)","0.038 (0.000, 0.000)","0.993 (0.991, 0.991)","0.082 (0.000, 0.000)",Model
0.1,"0.593 (0.571, 0.571)","0.977 (0.971, 0.971)","0.030 (0.000, 0.000)","0.996 (0.995, 0.995)","0.129 (0.000, 0.000)",Model
0.11,"0.593 (0.571, 0.571)","0.978 (0.974, 0.974)","0.030 (0.000, 0.000)","0.998 (0.998, 0.998)","0.195 (0.000, 0.000)",Model
0.12,"0.593 (0.571, 0.571)","0.979 (0.974, 0.974)","0.022 (0.000, 0.000)","0.998 (0.998, 0.998)","0.133 (0.000, 0.000)",Model
0.13,"0.593 (0.571, 0.571)","0.979 (0.974, 0.974)","0.022 (0.000, 0.000)","0.999 (0.998, 0.998)","0.250 (0.000, 0.000)",Model
0.14,"0.593 (0.571, 0.571)","0.979 (0.974, 0.974)","0.022 (0.000, 0.000)","0.999 (0.998, 0.998)","0.250 (0.000, 0.000)",Model
0.15,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.014 (0.000, 0.000)","0.999 (0.998, 0.998)","0.200 (0.000, 0.000)",Model
0.16,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.17,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.18,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.19,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.2,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.21,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.22,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.23,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.24,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.25,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.26,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.27,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.28,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.29,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
