Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.646 (0.624, 0.624)","0.019 (0.016, 0.016)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.019 (0.016, 0.016)",Model
0.01,"0.646 (0.624, 0.624)","0.398 (0.364, 0.364)","0.764 (0.767, 0.767)","0.391 (0.358, 0.358)","0.024 (0.018, 0.018)",Model
0.02,"0.646 (0.624, 0.624)","0.727 (0.711, 0.711)","0.486 (0.485, 0.485)","0.731 (0.714, 0.714)","0.035 (0.026, 0.026)",Model
0.03,"0.646 (0.624, 0.624)","0.870 (0.854, 0.854)","0.306 (0.267, 0.267)","0.881 (0.865, 0.865)","0.050 (0.030, 0.030)",Model
0.04,"0.646 (0.624, 0.624)","0.928 (0.916, 0.916)","0.245 (0.207, 0.207)","0.941 (0.929, 0.929)","0.075 (0.057, 0.057)",Model
0.05,"0.646 (0.624, 0.624)","0.948 (0.944, 0.944)","0.181 (0.133, 0.133)","0.963 (0.960, 0.960)","0.087 (0.048, 0.048)",Model
0.06,"0.646 (0.624, 0.624)","0.956 (0.956, 0.956)","0.159 (0.100, 0.100)","0.971 (0.972, 0.972)","0.101 (0.064, 0.064)",Model
0.07,"0.646 (0.624, 0.624)","0.962 (0.960, 0.960)","0.119 (0.049, 0.049)","0.978 (0.974, 0.974)","0.103 (0.054, 0.054)",Model
0.08,"0.646 (0.624, 0.624)","0.966 (0.965, 0.965)","0.084 (0.049, 0.049)","0.983 (0.979, 0.979)","0.096 (0.069, 0.069)",Model
0.09,"0.646 (0.624, 0.624)","0.969 (0.969, 0.969)","0.069 (0.049, 0.049)","0.987 (0.985, 0.985)","0.103 (0.077, 0.077)",Model
0.1,"0.646 (0.624, 0.624)","0.972 (0.971, 0.971)","0.063 (0.049, 0.049)","0.989 (0.987, 0.987)","0.119 (0.091, 0.091)",Model
0.11,"0.646 (0.624, 0.624)","0.973 (0.972, 0.972)","0.063 (0.049, 0.049)","0.991 (0.990, 0.990)","0.135 (0.097, 0.097)",Model
0.12,"0.646 (0.624, 0.624)","0.975 (0.973, 0.973)","0.054 (0.024, 0.024)","0.992 (0.991, 0.991)","0.134 (0.083, 0.083)",Model
0.13,"0.646 (0.624, 0.624)","0.976 (0.974, 0.974)","0.049 (0.000, 0.000)","0.994 (0.993, 0.993)","0.133 (0.000, 0.000)",Model
0.14,"0.646 (0.624, 0.624)","0.976 (0.974, 0.974)","0.049 (0.000, 0.000)","0.994 (0.994, 0.994)","0.139 (0.000, 0.000)",Model
0.15,"0.646 (0.624, 0.624)","0.977 (0.975, 0.975)","0.038 (0.000, 0.000)","0.995 (0.995, 0.995)","0.143 (0.000, 0.000)",Model
0.16,"0.646 (0.624, 0.624)","0.978 (0.976, 0.976)","0.038 (0.000, 0.000)","0.996 (0.995, 0.995)","0.149 (0.000, 0.000)",Model
0.17,"0.646 (0.624, 0.624)","0.978 (0.976, 0.976)","0.025 (0.000, 0.000)","0.996 (0.996, 0.996)","0.111 (0.000, 0.000)",Model
0.18,"0.646 (0.624, 0.624)","0.978 (0.976, 0.976)","0.014 (0.000, 0.000)","0.997 (0.997, 0.997)","0.093 (0.000, 0.000)",Model
