Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.697 (0.684, 0.684)","0.021 (0.018, 0.018)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.021 (0.018, 0.018)",Model
0.01,"0.697 (0.684, 0.684)","0.403 (0.349, 0.349)","0.805 (0.769, 0.769)","0.394 (0.337, 0.337)","0.028 (0.024, 0.024)",Model
0.02,"0.697 (0.684, 0.684)","0.713 (0.708, 0.708)","0.574 (0.569, 0.569)","0.716 (0.709, 0.709)","0.042 (0.039, 0.039)",Model
0.03,"0.697 (0.684, 0.684)","0.856 (0.852, 0.852)","0.412 (0.425, 0.425)","0.866 (0.866, 0.866)","0.062 (0.052, 0.052)",Model
0.04,"0.697 (0.684, 0.684)","0.913 (0.905, 0.905)","0.326 (0.325, 0.325)","0.926 (0.922, 0.922)","0.088 (0.063, 0.063)",Model
0.05,"0.697 (0.684, 0.684)","0.942 (0.935, 0.935)","0.241 (0.200, 0.200)","0.957 (0.951, 0.951)","0.111 (0.072, 0.072)",Model
0.06,"0.697 (0.684, 0.684)","0.953 (0.948, 0.948)","0.197 (0.175, 0.175)","0.969 (0.966, 0.966)","0.124 (0.093, 0.093)",Model
0.07,"0.697 (0.684, 0.684)","0.961 (0.955, 0.955)","0.167 (0.150, 0.150)","0.978 (0.975, 0.975)","0.144 (0.095, 0.095)",Model
0.08,"0.697 (0.684, 0.684)","0.964 (0.959, 0.959)","0.162 (0.125, 0.125)","0.981 (0.979, 0.979)","0.157 (0.096, 0.096)",Model
0.09,"0.697 (0.684, 0.684)","0.967 (0.961, 0.961)","0.144 (0.125, 0.125)","0.984 (0.982, 0.982)","0.167 (0.109, 0.109)",Model
0.1,"0.697 (0.684, 0.684)","0.969 (0.966, 0.966)","0.139 (0.125, 0.125)","0.987 (0.986, 0.986)","0.188 (0.132, 0.132)",Model
0.11,"0.697 (0.684, 0.684)","0.972 (0.968, 0.968)","0.126 (0.100, 0.100)","0.990 (0.988, 0.988)","0.216 (0.152, 0.152)",Model
0.12,"0.697 (0.684, 0.684)","0.973 (0.967, 0.967)","0.110 (0.100, 0.100)","0.991 (0.989, 0.989)","0.222 (0.174, 0.174)",Model
0.13,"0.697 (0.684, 0.684)","0.974 (0.969, 0.969)","0.104 (0.086, 0.086)","0.993 (0.991, 0.991)","0.249 (0.192, 0.192)",Model
0.14,"0.697 (0.684, 0.684)","0.975 (0.970, 0.970)","0.099 (0.077, 0.077)","0.994 (0.993, 0.993)","0.266 (0.185, 0.185)",Model
0.15,"0.697 (0.684, 0.684)","0.975 (0.970, 0.970)","0.074 (0.062, 0.062)","0.994 (0.993, 0.993)","0.225 (0.167, 0.167)",Model
0.16,"0.697 (0.684, 0.684)","0.975 (0.970, 0.970)","0.074 (0.062, 0.062)","0.994 (0.993, 0.993)","0.229 (0.174, 0.174)",Model
0.17,"0.697 (0.684, 0.684)","0.975 (0.970, 0.970)","0.069 (0.062, 0.062)","0.995 (0.994, 0.994)","0.225 (0.200, 0.200)",Model
0.18,"0.697 (0.684, 0.684)","0.975 (0.971, 0.971)","0.062 (0.046, 0.046)","0.995 (0.995, 0.995)","0.223 (0.188, 0.188)",Model
0.19,"0.697 (0.684, 0.684)","0.976 (0.971, 0.971)","0.062 (0.046, 0.046)","0.996 (0.995, 0.995)","0.241 (0.200, 0.200)",Model
0.2,"0.697 (0.684, 0.684)","0.976 (0.972, 0.972)","0.053 (0.025, 0.025)","0.996 (0.996, 0.996)","0.220 (0.167, 0.167)",Model
0.21,"0.697 (0.684, 0.684)","0.977 (0.972, 0.972)","0.049 (0.025, 0.025)","0.997 (0.996, 0.996)","0.229 (0.200, 0.200)",Model
0.22,"0.697 (0.684, 0.684)","0.977 (0.973, 0.973)","0.045 (0.025, 0.025)","0.997 (0.997, 0.997)","0.247 (0.250, 0.250)",Model
0.23,"0.697 (0.684, 0.684)","0.977 (0.973, 0.973)","0.041 (0.025, 0.025)","0.997 (0.997, 0.997)","0.260 (0.222, 0.222)",Model
0.24,"0.697 (0.684, 0.684)","0.977 (0.973, 0.973)","0.036 (0.023, 0.023)","0.997 (0.998, 0.998)","0.240 (0.250, 0.250)",Model
