Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.709 (0.703, 0.703)","0.022 (0.021, 0.021)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.021, 0.021)",Model
0.01,"0.709 (0.703, 0.703)","0.377 (0.366, 0.366)","0.831 (0.825, 0.825)","0.367 (0.355, 0.355)","0.029 (0.028, 0.028)",Model
0.02,"0.709 (0.703, 0.703)","0.699 (0.691, 0.691)","0.606 (0.587, 0.587)","0.701 (0.693, 0.693)","0.044 (0.042, 0.042)",Model
0.03,"0.709 (0.703, 0.703)","0.839 (0.833, 0.833)","0.459 (0.429, 0.429)","0.848 (0.841, 0.841)","0.063 (0.062, 0.062)",Model
0.04,"0.709 (0.703, 0.703)","0.904 (0.902, 0.902)","0.352 (0.328, 0.328)","0.916 (0.914, 0.914)","0.086 (0.085, 0.085)",Model
0.05,"0.709 (0.703, 0.703)","0.932 (0.931, 0.931)","0.286 (0.264, 0.264)","0.947 (0.945, 0.945)","0.107 (0.101, 0.101)",Model
0.06,"0.709 (0.703, 0.703)","0.947 (0.945, 0.945)","0.256 (0.243, 0.243)","0.962 (0.960, 0.960)","0.133 (0.123, 0.123)",Model
0.07,"0.709 (0.703, 0.703)","0.955 (0.955, 0.955)","0.228 (0.206, 0.206)","0.972 (0.970, 0.970)","0.153 (0.145, 0.145)",Model
0.08,"0.709 (0.703, 0.703)","0.961 (0.960, 0.960)","0.190 (0.181, 0.181)","0.978 (0.976, 0.976)","0.163 (0.155, 0.155)",Model
0.09,"0.709 (0.703, 0.703)","0.964 (0.963, 0.963)","0.161 (0.153, 0.153)","0.982 (0.981, 0.981)","0.165 (0.160, 0.160)",Model
0.1,"0.709 (0.703, 0.703)","0.966 (0.966, 0.966)","0.142 (0.130, 0.130)","0.985 (0.984, 0.984)","0.171 (0.160, 0.160)",Model
0.11,"0.709 (0.703, 0.703)","0.968 (0.967, 0.967)","0.125 (0.111, 0.111)","0.987 (0.986, 0.986)","0.171 (0.159, 0.159)",Model
