Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source,AUC_Median,Accuracy_Median,Sensitivity_Median,Specificity_Median,PPV (Precision)_Median
0.0,"0.707 (0.690, 0.690)","0.022 (0.019, 0.019)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.019, 0.019)",Model,0.707,0.022,1.0,0.0,0.022
0.01,"0.707 (0.690, 0.690)","0.385 (0.351, 0.351)","0.821 (0.804, 0.804)","0.374 (0.341, 0.341)","0.026 (0.025, 0.025)",Model,0.707,0.385,0.821,0.374,0.026
0.02,"0.707 (0.690, 0.690)","0.702 (0.696, 0.696)","0.596 (0.568, 0.568)","0.704 (0.697, 0.697)","0.046 (0.038, 0.038)",Model,0.707,0.702,0.596,0.704,0.046
0.03,"0.707 (0.690, 0.690)","0.841 (0.833, 0.833)","0.468 (0.388, 0.388)","0.849 (0.840, 0.840)","0.068 (0.054, 0.054)",Model,0.707,0.841,0.468,0.849,0.068
0.04,"0.707 (0.690, 0.690)","0.902 (0.890, 0.890)","0.362 (0.299, 0.299)","0.914 (0.901, 0.901)","0.108 (0.066, 0.066)",Model,0.707,0.902,0.362,0.914,0.108
0.05,"0.707 (0.690, 0.690)","0.931 (0.919, 0.919)","0.284 (0.255, 0.255)","0.945 (0.932, 0.932)","0.135 (0.068, 0.068)",Model,0.707,0.931,0.284,0.945,0.135
0.06,"0.707 (0.690, 0.690)","0.948 (0.936, 0.936)","0.269 (0.191, 0.191)","0.965 (0.951, 0.951)","0.165 (0.069, 0.069)",Model,0.707,0.948,0.269,0.965,0.165
0.07,"0.707 (0.690, 0.690)","0.953 (0.950, 0.950)","0.209 (0.191, 0.191)","0.974 (0.966, 0.966)","0.184 (0.092, 0.092)",Model,0.707,0.953,0.209,0.974,0.184
0.08,"0.707 (0.690, 0.690)","0.959 (0.956, 0.956)","0.209 (0.191, 0.191)","0.980 (0.973, 0.973)","0.211 (0.107, 0.107)",Model,0.707,0.959,0.209,0.98,0.211
0.09,"0.707 (0.690, 0.690)","0.962 (0.962, 0.962)","0.209 (0.191, 0.191)","0.983 (0.979, 0.979)","0.255 (0.125, 0.125)",Model,0.707,0.962,0.209,0.983,0.255
0.1,"0.707 (0.690, 0.690)","0.967 (0.963, 0.963)","0.191 (0.158, 0.158)","0.984 (0.983, 0.983)","0.237 (0.143, 0.143)",Model,0.707,0.967,0.191,0.984,0.237
0.11,"0.707 (0.690, 0.690)","0.969 (0.966, 0.966)","0.179 (0.158, 0.158)","0.987 (0.985, 0.985)","0.255 (0.161, 0.161)",Model,0.707,0.969,0.179,0.987,0.255
