Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.753 (0.717, 0.717)","0.023 (0.021, 0.021)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.023 (0.021, 0.021)",Model
0.01,"0.753 (0.717, 0.717)","0.292 (0.283, 0.283)","0.911 (0.885, 0.885)","0.275 (0.267, 0.267)","0.029 (0.024, 0.024)",Model
0.02,"0.753 (0.717, 0.717)","0.688 (0.683, 0.683)","0.661 (0.635, 0.635)","0.689 (0.684, 0.684)","0.046 (0.041, 0.041)",Model
0.03,"0.753 (0.717, 0.717)","0.848 (0.847, 0.847)","0.500 (0.481, 0.481)","0.858 (0.855, 0.855)","0.067 (0.065, 0.065)",Model
0.04,"0.753 (0.717, 0.717)","0.921 (0.919, 0.919)","0.354 (0.351, 0.351)","0.934 (0.933, 0.933)","0.115 (0.108, 0.108)",Model
0.05,"0.753 (0.717, 0.717)","0.952 (0.950, 0.950)","0.281 (0.268, 0.268)","0.968 (0.966, 0.966)","0.163 (0.158, 0.158)",Model
0.06,"0.753 (0.717, 0.717)","0.960 (0.957, 0.957)","0.228 (0.212, 0.212)","0.977 (0.974, 0.974)","0.186 (0.184, 0.184)",Model
0.07,"0.753 (0.717, 0.717)","0.964 (0.962, 0.962)","0.211 (0.173, 0.173)","0.981 (0.980, 0.980)","0.207 (0.200, 0.200)",Model
0.08,"0.753 (0.717, 0.717)","0.966 (0.965, 0.965)","0.193 (0.159, 0.159)","0.984 (0.983, 0.983)","0.229 (0.212, 0.212)",Model
0.09,"0.753 (0.717, 0.717)","0.968 (0.968, 0.968)","0.140 (0.135, 0.135)","0.987 (0.987, 0.987)","0.225 (0.200, 0.200)",Model
0.1,"0.753 (0.717, 0.717)","0.971 (0.970, 0.970)","0.135 (0.123, 0.123)","0.991 (0.989, 0.989)","0.257 (0.233, 0.233)",Model
0.11,"0.753 (0.717, 0.717)","0.972 (0.971, 0.971)","0.125 (0.123, 0.123)","0.992 (0.991, 0.991)","0.259 (0.241, 0.241)",Model
0.12,"0.753 (0.717, 0.717)","0.973 (0.971, 0.971)","0.123 (0.091, 0.091)","0.993 (0.992, 0.992)","0.286 (0.259, 0.259)",Model
0.13,"0.753 (0.717, 0.717)","0.974 (0.971, 0.971)","0.107 (0.068, 0.068)","0.993 (0.993, 0.993)","0.250 (0.240, 0.240)",Model
0.14,"0.753 (0.717, 0.717)","0.974 (0.973, 0.973)","0.088 (0.068, 0.068)","0.994 (0.994, 0.994)","0.273 (0.263, 0.263)",Model
0.15,"0.753 (0.717, 0.717)","0.974 (0.973, 0.973)","0.088 (0.045, 0.045)","0.995 (0.994, 0.994)","0.294 (0.250, 0.250)",Model
0.16,"0.753 (0.717, 0.717)","0.976 (0.973, 0.973)","0.088 (0.045, 0.045)","0.996 (0.996, 0.996)","0.286 (0.278, 0.278)",Model
0.17,"0.753 (0.717, 0.717)","0.976 (0.974, 0.974)","0.088 (0.045, 0.045)","0.997 (0.996, 0.996)","0.400 (0.312, 0.312)",Model
0.18,"0.753 (0.717, 0.717)","0.976 (0.975, 0.975)","0.070 (0.045, 0.045)","0.997 (0.996, 0.996)","0.364 (0.357, 0.357)",Model
0.19,"0.753 (0.717, 0.717)","0.976 (0.975, 0.975)","0.053 (0.045, 0.045)","0.998 (0.997, 0.997)","0.357 (0.333, 0.333)",Model
0.2,"0.753 (0.717, 0.717)","0.976 (0.975, 0.975)","0.053 (0.045, 0.045)","0.998 (0.997, 0.997)","0.333 (0.333, 0.333)",Model
0.21,"0.753 (0.717, 0.717)","0.977 (0.975, 0.975)","0.053 (0.045, 0.045)","0.998 (0.997, 0.997)","0.429 (0.333, 0.333)",Model
0.22,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.053 (0.023, 0.023)","0.998 (0.998, 0.998)","0.400 (0.333, 0.333)",Model
0.23,"0.753 (0.717, 0.717)","0.976 (0.976, 0.976)","0.035 (0.019, 0.019)","0.998 (0.998, 0.998)","0.333 (0.250, 0.250)",Model
0.24,"0.753 (0.717, 0.717)","0.976 (0.975, 0.975)","0.035 (0.019, 0.019)","0.998 (0.998, 0.998)","0.333 (0.250, 0.250)",Model
0.25,"0.753 (0.717, 0.717)","0.976 (0.976, 0.976)","0.019 (0.018, 0.018)","0.999 (0.998, 0.998)","0.250 (0.250, 0.250)",Model
0.26,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.019 (0.018, 0.018)","0.999 (0.998, 0.998)","0.333 (0.250, 0.250)",Model
0.27,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.019 (0.018, 0.018)","0.999 (0.998, 0.998)","0.333 (0.250, 0.250)",Model
0.28,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.019 (0.018, 0.018)","0.999 (0.998, 0.998)","0.333 (0.333, 0.333)",Model
0.29,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.019 (0.018, 0.018)","0.999 (0.999, 0.999)","0.333 (0.333, 0.333)",Model
0.3,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.019 (0.018, 0.018)","0.999 (0.999, 0.999)","0.333 (0.333, 0.333)",Model
0.31,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.019 (0.018, 0.018)","0.999 (0.999, 0.999)","0.400 (0.333, 0.333)",Model
0.32,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.019 (0.000, 0.000)","0.999 (0.999, 0.999)","0.333 (0.000, 0.000)",Model
0.33,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.019 (0.000, 0.000)","0.999 (0.999, 0.999)","0.333 (0.000, 0.000)",Model
0.34,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.019 (0.000, 0.000)","0.999 (0.999, 0.999)","0.333 (0.000, 0.000)",Model
0.35000000000000003,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.36,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.37,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.38,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.39,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.4,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.41000000000000003,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.42,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.43,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model
0.44,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.45,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.46,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.47000000000000003,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.48,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.49,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.51,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.52,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.53,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.54,"0.753 (0.717, 0.717)","0.977 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.55,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.56,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5700000000000001,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.58,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.59,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.61,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.62,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.63,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.64,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.65,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.66,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.67,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.68,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6900000000000001,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.7000000000000001,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.71,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.72,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.73,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.74,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.75,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.76,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.77,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.78,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.79,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.81,"0.753 (0.717, 0.717)","0.977 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
