Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.719 (0.712, 0.712)","0.022 (0.021, 0.021)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.021, 0.021)",Model
0.01,"0.719 (0.712, 0.712)","0.355 (0.327, 0.327)","0.858 (0.804, 0.804)","0.343 (0.316, 0.316)","0.029 (0.027, 0.027)",Model
0.02,"0.719 (0.712, 0.712)","0.698 (0.685, 0.685)","0.612 (0.571, 0.571)","0.700 (0.686, 0.686)","0.044 (0.040, 0.040)",Model
0.03,"0.719 (0.712, 0.712)","0.847 (0.840, 0.840)","0.445 (0.442, 0.442)","0.856 (0.847, 0.847)","0.066 (0.056, 0.056)",Model
0.04,"0.719 (0.712, 0.712)","0.906 (0.904, 0.904)","0.368 (0.345, 0.345)","0.918 (0.913, 0.913)","0.092 (0.083, 0.083)",Model
0.05,"0.719 (0.712, 0.712)","0.935 (0.932, 0.932)","0.277 (0.250, 0.250)","0.949 (0.948, 0.948)","0.111 (0.092, 0.092)",Model
0.06,"0.719 (0.712, 0.712)","0.950 (0.948, 0.948)","0.252 (0.227, 0.227)","0.966 (0.964, 0.964)","0.142 (0.128, 0.128)",Model
0.07,"0.719 (0.712, 0.712)","0.958 (0.956, 0.956)","0.230 (0.205, 0.205)","0.974 (0.973, 0.973)","0.166 (0.134, 0.134)",Model
0.08,"0.719 (0.712, 0.712)","0.962 (0.961, 0.961)","0.186 (0.145, 0.145)","0.980 (0.978, 0.978)","0.168 (0.125, 0.125)",Model
0.09,"0.719 (0.712, 0.712)","0.965 (0.963, 0.963)","0.174 (0.127, 0.127)","0.983 (0.982, 0.982)","0.185 (0.137, 0.137)",Model
0.1,"0.719 (0.712, 0.712)","0.968 (0.966, 0.966)","0.143 (0.091, 0.091)","0.986 (0.985, 0.985)","0.188 (0.161, 0.161)",Model
0.11,"0.719 (0.712, 0.712)","0.970 (0.969, 0.969)","0.136 (0.091, 0.091)","0.989 (0.988, 0.988)","0.212 (0.194, 0.194)",Model
0.12,"0.719 (0.712, 0.712)","0.971 (0.970, 0.970)","0.125 (0.091, 0.091)","0.990 (0.989, 0.989)","0.210 (0.167, 0.167)",Model
0.13,"0.719 (0.712, 0.712)","0.972 (0.971, 0.971)","0.107 (0.068, 0.068)","0.991 (0.990, 0.990)","0.213 (0.158, 0.158)",Model
0.14,"0.719 (0.712, 0.712)","0.973 (0.972, 0.972)","0.103 (0.068, 0.068)","0.993 (0.992, 0.992)","0.235 (0.176, 0.176)",Model
0.15,"0.719 (0.712, 0.712)","0.974 (0.973, 0.973)","0.096 (0.068, 0.068)","0.993 (0.993, 0.993)","0.240 (0.200, 0.200)",Model
0.16,"0.719 (0.712, 0.712)","0.975 (0.973, 0.973)","0.093 (0.068, 0.068)","0.995 (0.994, 0.994)","0.269 (0.214, 0.214)",Model
0.17,"0.719 (0.712, 0.712)","0.975 (0.974, 0.974)","0.089 (0.068, 0.068)","0.995 (0.995, 0.995)","0.283 (0.250, 0.250)",Model
0.18,"0.719 (0.712, 0.712)","0.976 (0.975, 0.975)","0.083 (0.068, 0.068)","0.996 (0.996, 0.996)","0.308 (0.273, 0.273)",Model
0.19,"0.719 (0.712, 0.712)","0.976 (0.975, 0.975)","0.076 (0.068, 0.068)","0.996 (0.996, 0.996)","0.319 (0.267, 0.267)",Model
0.2,"0.719 (0.712, 0.712)","0.977 (0.975, 0.975)","0.068 (0.058, 0.058)","0.997 (0.996, 0.996)","0.343 (0.250, 0.250)",Model
0.21,"0.719 (0.712, 0.712)","0.977 (0.975, 0.975)","0.057 (0.038, 0.038)","0.997 (0.997, 0.997)","0.328 (0.222, 0.222)",Model
0.22,"0.719 (0.712, 0.712)","0.977 (0.976, 0.976)","0.054 (0.038, 0.038)","0.998 (0.998, 0.998)","0.362 (0.250, 0.250)",Model
0.23,"0.719 (0.712, 0.712)","0.977 (0.976, 0.976)","0.046 (0.023, 0.023)","0.998 (0.998, 0.998)","0.337 (0.250, 0.250)",Model
0.24,"0.719 (0.712, 0.712)","0.978 (0.976, 0.976)","0.038 (0.023, 0.023)","0.999 (0.998, 0.998)","0.370 (0.250, 0.250)",Model
0.25,"0.719 (0.712, 0.712)","0.978 (0.976, 0.976)","0.032 (0.023, 0.023)","0.999 (0.998, 0.998)","0.343 (0.143, 0.143)",Model
0.26,"0.719 (0.712, 0.712)","0.978 (0.976, 0.976)","0.032 (0.023, 0.023)","0.999 (0.998, 0.998)","0.343 (0.143, 0.143)",Model
