,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.7514092469048688,0.6965011286681716,0.680672268907563,0.6973998091603053,0.11324711639286962,Full Dataset
1,0.2,0.7514092469048688,0.8243792325056434,0.5819327731092437,0.8381440839694656,0.16952264381884946,Full Dataset
2,0.30000000000000004,0.7514092469048688,0.8670428893905192,0.5042016806722689,0.8876431297709924,0.20304568527918782,Full Dataset
3,0.4,0.7514092469048688,0.8893905191873589,0.46638655462184875,0.9134064885496184,0.23417721518987342,Full Dataset
4,0.5,0.7514092469048688,0.9012415349887133,0.4180672268907563,0.9286736641221374,0.24968632371392724,Full Dataset
5,0.1,0.7547357539375698,0.7040740740740741,0.6879432624113475,0.7049628761234857,0.11384976525821597,Test Dataset
6,0.2,0.7547357539375698,0.8281481481481482,0.574468085106383,0.842125830402501,0.1670103092783505,Test Dataset
7,0.30000000000000004,0.7547357539375698,0.8681481481481481,0.48936170212765956,0.8890191481047284,0.1954674220963173,Test Dataset
8,0.4,0.7547357539375698,0.8866666666666667,0.45390070921985815,0.9105119187182493,0.21843003412969283,Test Dataset
9,0.5,0.7547357539375698,0.8992592592592593,0.40425531914893614,0.9265338022665104,0.23265306122448978,Test Dataset
