,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.7345993215804012,0.05219273631043053,1.0,0.0,0.05219273631043053,Full Dataset
1,0.2,0.7345993215804012,0.8233784975547181,0.576036866359447,0.8369988157672137,0.16290182450043442,Full Dataset
2,0.30000000000000004,0.7345993215804012,0.8655495871081537,0.4930875576036866,0.8860598883437658,0.19244604316546762,Full Dataset
3,0.4,0.7345993215804012,0.8879179026697667,0.45314900153609833,0.911859245474539,0.2206432311144353,Full Dataset
4,0.5,0.7345993215804012,0.9006654373446644,0.40860215053763443,0.9277618000338352,0.2375,Full Dataset
5,0.1,0.7684168241034858,0.0698853027473993,1.0,0.0,0.0698853027473993,Test Dataset
6,0.2,0.7684168241034858,0.803680981595092,0.648854961832061,0.8153140235159163,0.20884520884520885,Test Dataset
7,0.30000000000000004,0.7684168241034858,0.8468925046679114,0.5763358778625954,0.867221106968741,0.24592833876221498,Test Dataset
8,0.4,0.7684168241034858,0.8748999733262203,0.5458015267175572,0.8996271866934328,0.29006085192697767,Test Dataset
9,0.5,0.7684168241034858,0.8834355828220859,0.49236641221374045,0.9128190421565816,0.2979214780600462,Test Dataset
