,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.6690128962347639,0.6744167401587429,0.5766423357664233,0.6766128371177965,0.03850840848159883,Full Dataset
1,0.2,0.6690128962347639,0.8130361581014992,0.44525547445255476,0.8212968276088204,0.052997393570807995,Full Dataset
2,0.30000000000000004,0.6690128962347639,0.858574520965285,0.3248175182481752,0.8705631609148291,0.053357314148681056,Full Dataset
3,0.4,0.6690128962347639,0.8838290707929127,0.2956204379562044,0.897040741044348,0.0605833956619297,Full Dataset
4,0.5,0.6690128962347639,0.8997835324300489,0.26277372262773724,0.9140913189605705,0.06428571428571428,Full Dataset
5,0.1,0.7224568085223824,0.7090685268773081,0.7049180327868853,0.7091750841750841,0.05858310626702997,Test Dataset
6,0.2,0.7224568085223824,0.839146491588018,0.5409836065573771,0.8468013468013468,0.08312342569269521,Test Dataset
7,0.30000000000000004,0.7224568085223824,0.8830529339351662,0.4262295081967213,0.8947811447811448,0.09420289855072464,Test Dataset
8,0.4,0.7224568085223824,0.9006975789905621,0.39344262295081966,0.9137205387205387,0.10480349344978165,Test Dataset
9,0.5,0.7224568085223824,0.9146491588018055,0.32786885245901637,0.9297138047138047,0.10695187165775401,Test Dataset
