,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.5938819797405859,0.7088566195709053,0.4302848575712144,0.7215648724437453,0.06585589720055071,Full Dataset
1,0.2,0.5938819797405859,0.8291470434327577,0.2623688155922039,0.8550030777648587,0.07625272331154684,Full Dataset
2,0.30000000000000004,0.5938819797405859,0.8661695447409733,0.20689655172413793,0.896245126872307,0.08338368580060423,Full Dataset
3,0.4,0.5938819797405859,0.8852040816326531,0.1679160419790105,0.917926270432939,0.08536585365853659,Full Dataset
4,0.5,0.5938819797405859,0.8973704866562009,0.14392803598200898,0.9317420149100609,0.08775137111517367,Full Dataset
5,0.1,0.6203531579815634,0.6891489361702128,0.47297297297297297,0.699866011612327,0.07246376811594203,Test Dataset
6,0.2,0.6203531579815634,0.8102127659574468,0.32432432432432434,0.8343010272443055,0.08845208845208845,Test Dataset
7,0.30000000000000004,0.6203531579815634,0.8540425531914894,0.2927927927927928,0.8818669048682447,0.10942760942760943,Test Dataset
8,0.4,0.6203531579815634,0.8740425531914894,0.21621621621621623,0.9066547565877624,0.10300429184549356,Test Dataset
9,0.5,0.6203531579815634,0.8865957446808511,0.18468468468468469,0.9213934792317999,0.10432569974554708,Test Dataset
