Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0.1,0.5606527439219964,0.8334085778781039,0.22478991596638656,0.8679627862595419,0.08813838550247118,Full Dataset
0.2,0.5606527439219964,0.9205417607223476,0.11554621848739496,0.9662452290076335,0.16272189349112426,Full Dataset
0.30000000000000004,0.5606527439219964,0.9382618510158014,0.06302521008403361,0.9879532442748091,0.22900763358778625,Full Dataset
0.4,0.5606527439219964,0.944469525959368,0.046218487394957986,0.9954675572519084,0.36666666666666664,Full Dataset
0.5,0.5606527439219964,0.945823927765237,0.0273109243697479,0.9979723282442748,0.43333333333333335,Full Dataset
0.1,0.4391046786519325,0.8245219347581553,0.12790697674418605,0.8599290780141844,0.04435483870967742,Test Dataset
0.2,0.4391046786519325,0.9167604049493814,0.03488372093023256,0.9615839243498818,0.04411764705882353,Test Dataset
0.30000000000000004,0.4391046786519325,0.9381327334083239,0.011627906976744186,0.985224586288416,0.038461538461538464,Test Dataset
0.4,0.4391046786519325,0.9488188976377953,0.011627906976744186,0.9964539007092199,0.14285714285714285,Test Dataset
0.5,0.4391046786519325,0.9505061867266592,0.0,0.9988179669030733,0.0,Test Dataset
