Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0.1,0.5604344910674194,0.8281038374717833,0.23529411764705882,0.8617604961832062,0.08811959087332809,Full Dataset
0.2,0.5604344910674194,0.9205417607223476,0.11134453781512606,0.9664837786259542,0.15868263473053892,Full Dataset
0.30000000000000004,0.5604344910674194,0.9390519187358917,0.05672268907563025,0.9891459923664122,0.2288135593220339,Full Dataset
0.4,0.5604344910674194,0.9448081264108352,0.037815126050420166,0.9963024809160306,0.3673469387755102,Full Dataset
0.5,0.5604344910674194,0.945823927765237,0.01680672268907563,0.9985687022900763,0.4,Full Dataset
0.1,0.4849495176251805,0.8218518518518518,0.14893617021276595,0.8589292692457992,0.0549738219895288,Test Dataset
0.2,0.4849495176251805,0.9151851851851852,0.0425531914893617,0.9632669011332552,0.06,Test Dataset
0.30000000000000004,0.4849495176251805,0.9381481481481482,0.02127659574468085,0.9886674482219617,0.09375,Test Dataset
0.4,0.4849495176251805,0.9462962962962963,0.02127659574468085,0.9972645564673701,0.3,Test Dataset
0.5,0.4849495176251805,0.9481481481481482,0.014184397163120567,0.9996092223524814,0.6666666666666666,Test Dataset
