Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0.1,0.7144109072075521,0.9421951415056522,0.13517665130568357,0.9866350871256978,0.35772357723577236,Full Dataset
0.2,0.7144109072075521,0.9465244929046741,0.0706605222734255,0.9947555405176789,0.42592592592592593,Full Dataset
0.30000000000000004,0.7144109072075521,0.9470055319490098,0.0445468509984639,0.9967010658095077,0.4264705882352941,Full Dataset
0.4,0.7144109072075521,0.9474865709933457,0.03686635944700461,0.9976315344273389,0.46153846153846156,Full Dataset
0.5,0.7144109072075521,0.9474063978192897,0.021505376344086023,0.998392826932837,0.42424242424242425,Full Dataset
0.1,0.7410704317235007,0.9279807948786343,0.15267175572519084,0.9862345856036708,0.45454545454545453,Test Dataset
0.2,0.7410704317235007,0.930914910642838,0.06870229007633588,0.9956983080011471,0.5454545454545454,Test Dataset
0.30000000000000004,0.7410704317235007,0.9298479594558549,0.04580152671755725,0.9962718669343275,0.48,Test Dataset
0.4,0.7410704317235007,0.9303814350493465,0.03816793893129771,0.9974189848006882,0.5263157894736842,Test Dataset
0.5,0.7410704317235007,0.930914910642838,0.030534351145038167,0.998566102667049,0.6153846153846154,Test Dataset
