,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.850466224180512,0.9285553047404064,0.6050420168067226,0.9469227099236641,0.39290586630286495,Full Dataset
1,0.2,0.850466224180512,0.945823927765237,0.5588235294117647,0.9677958015267175,0.4962686567164179,Full Dataset
2,0.30000000000000004,0.850466224180512,0.9501128668171558,0.5063025210084033,0.9753101145038168,0.5379464285714286,Full Dataset
3,0.4,0.850466224180512,0.9531602708803611,0.4012605042016807,0.9844942748091603,0.5950155763239875,Full Dataset
4,0.5,0.850466224180512,0.9555304740406321,0.3382352941176471,0.9905772900763359,0.6708333333333333,Full Dataset
5,0.1,0.8003875968992249,0.9201349831271091,0.5232558139534884,0.9403073286052009,0.3082191780821918,Test Dataset
6,0.2,0.8003875968992249,0.9364454443194601,0.43023255813953487,0.9621749408983451,0.36633663366336633,Test Dataset
7,0.30000000000000004,0.8003875968992249,0.9420697412823397,0.37209302325581395,0.9710401891252955,0.3950617283950617,Test Dataset
8,0.4,0.8003875968992249,0.9493813273340832,0.26744186046511625,0.9840425531914894,0.46,Test Dataset
9,0.5,0.8003875968992249,0.953880764904387,0.2441860465116279,0.9899527186761229,0.5526315789473685,Test Dataset
