,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.8355890722224004,0.9230248306997743,0.5840336134453782,0.9422709923664122,0.3648293963254593,Full Dataset
1,0.2,0.8355890722224004,0.944469525959368,0.43487394957983194,0.9734017175572519,0.4813953488372093,Full Dataset
2,0.30000000000000004,0.8355890722224004,0.9489841986455982,0.3067226890756303,0.9854484732824428,0.5447761194029851,Full Dataset
3,0.4,0.8355890722224004,0.9484198645598194,0.17436974789915966,0.9923664122137404,0.564625850340136,Full Dataset
4,0.5,0.8355890722224004,0.9481941309255079,0.07983193277310924,0.9974952290076335,0.6440677966101694,Full Dataset
5,0.1,0.8002294779376917,0.9177777777777778,0.5106382978723404,0.94021101992966,0.32,Test Dataset
6,0.2,0.8002294779376917,0.9418518518518518,0.36879432624113473,0.9734271199687378,0.43333333333333335,Test Dataset
7,0.30000000000000004,0.8002294779376917,0.9481481481481482,0.28368794326241137,0.984759671746776,0.5063291139240507,Test Dataset
8,0.4,0.8002294779376917,0.945925925925926,0.15602836879432624,0.9894490035169988,0.4489795918367347,Test Dataset
9,0.5,0.8002294779376917,0.9488888888888889,0.07801418439716312,0.9968737788198515,0.5789473684210527,Test Dataset
