,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.7066576517368098,0.909644832838932,0.30261136712749614,0.9430722381999662,0.2264367816091954,Full Dataset
1,0.2,0.7066576517368098,0.9434779122905476,0.12903225806451613,0.9883268482490273,0.3783783783783784,Full Dataset
2,0.30000000000000004,0.7066576517368098,0.9463641465565622,0.05837173579109063,0.9952630688546777,0.40425531914893614,Full Dataset
3,0.4,0.7066576517368098,0.9471658782971217,0.027649769585253458,0.9978007105396718,0.4090909090909091,Full Dataset
4,0.5,0.7066576517368098,0.9476469173414576,0.018433179723502304,0.9988157672136694,0.46153846153846156,Full Dataset
5,0.1,0.6844993509151768,0.8981061616431049,0.3015267175572519,0.9429308861485518,0.2841726618705036,Test Dataset
6,0.2,0.6844993509151768,0.9255801547079221,0.10687022900763359,0.9870949240034413,0.3835616438356164,Test Dataset
7,0.30000000000000004,0.6844993509151768,0.9277140570818885,0.04198473282442748,0.9942644106681962,0.3548387096774194,Test Dataset
8,0.4,0.6844993509151768,0.9287810082688717,0.015267175572519083,0.9974189848006882,0.3076923076923077,Test Dataset
9,0.5,0.6844993509151768,0.9287810082688717,0.007633587786259542,0.9979925437338687,0.2222222222222222,Test Dataset
