,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.7753995032499372,0.9648039765894332,0.23357664233576642,0.9812279695056972,0.21843003412969283,Full Dataset
1,0.2,0.7753995032499372,0.9766696063497153,0.15693430656934307,0.995081564062628,0.4174757281553398,Full Dataset
2,0.30000000000000004,0.7753995032499372,0.9777118576124428,0.08394160583941605,0.9977867038281827,0.46,Full Dataset
3,0.4,0.7753995032499372,0.9785937625270584,0.04744525547445255,0.9995081564062628,0.6842105263157895,Full Dataset
4,0.5,0.7753995032499372,0.9782730698308346,0.014598540145985401,0.9999180260677105,0.8,Full Dataset
5,0.1,0.7464341197173416,0.9624285325347127,0.1728395061728395,0.9802338530066815,0.16470588235294117,Test Dataset
6,0.2,0.7464341197173416,0.976858154097468,0.12345679012345678,0.9961024498886414,0.4166666666666667,Test Dataset
7,0.30000000000000004,0.7464341197173416,0.9779471821399401,0.06172839506172839,0.998608017817372,0.5,Test Dataset
8,0.4,0.7464341197173416,0.9784916961611761,0.037037037037037035,0.9997216035634744,0.75,Test Dataset
9,0.5,0.7464341197173416,0.9782194391505581,0.012345679012345678,1.0,1.0,Test Dataset
