,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.7773187104602927,0.9663272668964964,0.26277372262773724,0.9821296827608821,0.2482758620689655,Full Dataset
1,0.2,0.7773187104602927,0.9745851038242604,0.15328467153284672,0.9930322157553898,0.33070866141732286,Full Dataset
2,0.30000000000000004,0.7773187104602927,0.9777920307864988,0.10948905109489052,0.9972948602344455,0.47619047619047616,Full Dataset
3,0.4,0.7773187104602927,0.9785135893530025,0.072992700729927,0.9988523649479466,0.5882352941176471,Full Dataset
4,0.5,0.7773187104602927,0.9785937625270584,0.040145985401459854,0.9996721042708419,0.7333333333333333,Full Dataset
5,0.1,0.7653382920685081,0.9703921045612163,0.3287671232876712,0.9831338411316648,0.27906976744186046,Test Dataset
6,0.2,0.7653382920685081,0.9773272872766071,0.1506849315068493,0.9937431991294886,0.3235294117647059,Test Dataset
7,0.30000000000000004,0.7653382920685081,0.9807948786343025,0.136986301369863,0.9975516866158868,0.5263157894736842,Test Dataset
8,0.4,0.7653382920685081,0.9815950920245399,0.1095890410958904,0.998911860718172,0.6666666666666666,Test Dataset
9,0.5,0.7653382920685081,0.9815950920245399,0.0684931506849315,0.999727965179543,0.8333333333333334,Test Dataset
