,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.8069267872832577,0.918063016114808,0.5084485407066052,0.9406191845711386,0.3204259438528558,Full Dataset
1,0.2,0.8069267872832577,0.9449210294235548,0.36098310291858676,0.9770766367788868,0.4644268774703557,Full Dataset
2,0.30000000000000004,0.8069267872832577,0.9518159223923676,0.29493087557603687,0.9879884960243613,0.5748502994011976,Full Dataset
3,0.4,0.8069267872832577,0.9530986931772629,0.2227342549923195,0.993317543562849,0.6473214285714286,Full Dataset
4,0.5,0.8069267872832577,0.9525374809588711,0.16436251920122888,0.9959397733040095,0.6903225806451613,Full Dataset
5,0.1,0.846001068308242,0.907175246732462,0.6259541984732825,0.928305133352452,0.3961352657004831,Test Dataset
6,0.2,0.846001068308242,0.9367831421712457,0.4732824427480916,0.9716088328075709,0.5560538116591929,Test Dataset
7,0.30000000000000004,0.846001068308242,0.9445185382768738,0.4122137404580153,0.9845139088041296,0.6666666666666666,Test Dataset
8,0.4,0.846001068308242,0.9437183248866364,0.32061068702290074,0.9905362776025236,0.717948717948718,Test Dataset
9,0.5,0.846001068308242,0.942918111496399,0.24427480916030533,0.9954115285345569,0.8,Test Dataset
