,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.02,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
1,0.04,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
2,0.06,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
3,0.08,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
4,0.1,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
5,0.12,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
6,0.14,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
7,0.16,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
8,0.18,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
9,0.2,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
10,0.22,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
11,0.24,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
12,0.26,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
13,0.28,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
14,0.3,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
15,0.32,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
16,0.34,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
17,0.36,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
18,0.38,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
19,0.4,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
20,0.42,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
21,0.44,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
22,0.46,0.5759660508494713,0.079002079002079,1.0,0.0,0.079002079002079,Full Dataset
23,0.48,0.5759660508494713,0.09667359667359668,0.9868421052631579,0.020316027088036117,0.07953340402969247,Full Dataset
24,0.5,0.5759660508494713,0.40696465696465695,0.6973684210526315,0.38205417607223474,0.08825978351373855,Full Dataset
25,0.52,0.5759660508494713,0.920997920997921,0.0,1.0,0.0,Full Dataset
26,0.54,0.5759660508494713,0.920997920997921,0.0,1.0,0.0,Full Dataset
27,0.56,0.5759660508494713,0.920997920997921,0.0,1.0,0.0,Full Dataset
28,0.58,0.5759660508494713,0.920997920997921,0.0,1.0,0.0,Full Dataset
29,0.02,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
30,0.04,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
31,0.06,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
32,0.08,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
33,0.1,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
34,0.12,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
35,0.14,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
36,0.16,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
37,0.18,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
38,0.2,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
39,0.22,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
40,0.24,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
41,0.26,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
42,0.28,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
43,0.3,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
44,0.32,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
45,0.34,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
46,0.36,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
47,0.38,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
48,0.4,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
49,0.42,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
50,0.44,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
51,0.46,0.5431924882629108,0.07792207792207792,1.0,0.0,0.07792207792207792,Test Dataset
52,0.48,0.5431924882629108,0.08311688311688312,0.9333333333333333,0.011267605633802818,0.07387862796833773,Test Dataset
53,0.5,0.5431924882629108,0.36103896103896105,0.6666666666666666,0.3352112676056338,0.078125,Test Dataset
54,0.52,0.5431924882629108,0.922077922077922,0.0,1.0,0.0,Test Dataset
55,0.54,0.5431924882629108,0.922077922077922,0.0,1.0,0.0,Test Dataset
56,0.56,0.5431924882629108,0.922077922077922,0.0,1.0,0.0,Test Dataset
57,0.58,0.5431924882629108,0.922077922077922,0.0,1.0,0.0,Test Dataset
