,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.767220109112919,0.9256329113924051,0.5053533190578159,0.9490514258441713,0.3559577677224736,Full Dataset
1,0.2,0.767220109112919,0.943377034358047,0.41113490364025695,0.973034244123613,0.45933014354066987,Full Dataset
2,0.30000000000000004,0.767220109112919,0.9502712477396021,0.37259100642398285,0.9824603269299607,0.5420560747663551,Full Dataset
3,0.4,0.767220109112919,0.9523056057866185,0.3169164882226981,0.9877102971005847,0.5896414342629482,Full Dataset
4,0.5,0.767220109112919,0.952870705244123,0.28693790149892934,0.9899773296742632,0.6146788990825688,Full Dataset
5,0.1,0.723123208051335,0.9030172413793104,0.423728813559322,0.9355581127733027,0.30864197530864196,Test Dataset
6,0.2,0.723123208051335,0.9234913793103449,0.3474576271186441,0.9626006904487917,0.3867924528301887,Test Dataset
7,0.30000000000000004,0.723123208051335,0.9272629310344828,0.288135593220339,0.9706559263521288,0.4,Test Dataset
8,0.4,0.723123208051335,0.9288793103448276,0.2288135593220339,0.976409666283084,0.39705882352941174,Test Dataset
9,0.5,0.723123208051335,0.931573275862069,0.211864406779661,0.9804372842347526,0.423728813559322,Test Dataset
