,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.5171359160034237,0.9263474620617478,0.041979010494752625,0.9666917447507011,0.05436893203883495,Full Dataset
1,0.2,0.5171359160034237,0.9561093668236526,0.0,0.9997264209014431,0.0,Full Dataset
2,0.30000000000000004,0.5171359160034237,0.9563710099424385,0.0,1.0,0.0,Full Dataset
3,0.4,0.5171359160034237,0.9563710099424385,0.0,1.0,0.0,Full Dataset
4,0.5,0.5171359160034237,0.9563710099424385,0.0,1.0,0.0,Full Dataset
5,0.1,0.5189042325040538,0.9274468085106383,0.036036036036036036,0.9716391246092005,0.05925925925925926,Test Dataset
6,0.2,0.5189042325040538,0.9525531914893617,0.0,0.9997766860205449,0.0,Test Dataset
7,0.30000000000000004,0.5189042325040538,0.9527659574468085,0.0,1.0,0.0,Test Dataset
8,0.4,0.5189042325040538,0.9527659574468085,0.0,1.0,0.0,Test Dataset
9,0.5,0.5189042325040538,0.9527659574468085,0.0,1.0,0.0,Test Dataset
